strain	t-sne_label_for_Nextclade_pango_collapsed	Nextclade_pango_collapsed
USA/MI-MDHHS-SC31451/2021	27	AY.119
NZL/21MV0609/2021	14	AY.122
USA/GA-CDC-MMB10169455/2021	24	AY.103
USA/2112269/2022	23	AY.25.1
MEX/CMX-2_358/2021	27	AY.20
USA/NM-UNM-TRL_2J2022_176/2022	27	B.1.617.2
England/MILK-1DE46F1/2021	27	AY.4
USA/CO-CDPHE-2101378528/2021	2	AY.44
USA/MA-CDCBI-CRSP_LIUJR7AKQI25Y2KZ/2021	27	AY.119
England/HSLL-15194C4/2021	14	AY.122
USA/CO-CDC-MMB09298708/2021	23	AY.25
England/MILK-17ADF95/2021	27	AY.4
THA/MTM_01_045/2021	5	AY.85
THA/MTM_01_009/2021	5	AY.85
FRA/IHUCOVID-057750-Nova1M/2020	21	AY.43
USA/MO-CDC-QDX24326395/2021	27	B.1.617.2
USA/FL-CDC-QDX30129743/2021	2	AY.44
USA/TX-CDC-QDX30410688/2021	12	AY.100
KEN/SS8067/2021	27	AY.46
BRA/RJ-NVBS8689GENOV828208798570/2021	1	AY.99.2
BRA/SP-NVBS7085GENOV828106674938/2021	0	AY.99
USA/CA-OC-1431/2021	27	B.1.617.2
USA/WI-CDC-ASC210636259/2021	24	AY.103
OV653499	17	AY.126
NZL/21CV3110/2021	9	AY.39.1.1
CHL/AR-UFRO-0444/2021	21	AY.43
Japan/SZ-NIG-3-C12825/2021	16	AY.29
Japan/SZ-NIG-Y21931/2021	16	AY.29
Japan/SZ-NIG-Y21745/2021	16	AY.29
MNG/202107046/2021	-1	AY.107
JAM/202112026/2021	-1	AY.107
USA/MN-CDC-IBX365054916151/2021	18	AY.3
SouthAfrica/NHLS-UCT-AM-Z036/2021	4	AY.32
Denmark/DCGC-225342/2021	27	AY.122
USA/AL-CDC-LC0211576/2021	24	AY.103
USA/MA-CDCBI-CRSP_K7PMJZZ44ADDME7V/2021	27	AY.119
NZL/21CV0523/2021	9	AY.39.1.1
USA/PA-CDC-STM-000731938/2021	24	AY.103
England/MILK-1FEF9EC/2021	27	AY.4
USA/MN-CDC-IBX989416244184/2021	24	AY.103
NZL/21CH0070/2021	13	AY.23
NZL/21MV1096/2021	9	AY.39.1.1
BHR/21410356779/2021	27	AY.122
England/QEUH-164AF8C/2021	27	AY.4
USA/CO-CDC-MMB11311783/2021	24	AY.103
USA/NJ-CDC-LC0389108/2021	-1	AY.39
BHR/21342796161_S58_L001/2021	7	AY.33
England/MILK-2B38B49/2021	27	AY.6
NZL/21CH0059/2021	13	AY.23
NZL/21MV1177/2021	9	AY.39.1.1
KEN/C97160/2021	27	AY.116
Japan/SZ-NIG-Y21760/2021	16	AY.29
BRA/BA-NVBS5802GENOV828062975926/2021	1	AY.99.2
BRA/PR-NVBS4479GENOV827973639217/2021	11	AY.101
England/MILK-1557A6E/2021	14	AY.122
USA/TG1298343/2020	12	AY.100
BRA/EPI_ISL_4273424/2021	1	AY.99.2
USA/OH-CDC-ASC210083928/2021	9	AY.39
NZL/21MV1729/2021	9	AY.39.1.1
KEN/SS4390/2021	27	B.1.617.2
LC752088	16	AY.29
USA/CA-CDPH-1002012163/2020	22	AY.103
OL966453	27	B.1.617.2
NZL/21MV2372/2021	9	AY.39.1.1
NGA/CV4796/2021	6	AY.36
USA/CO-CDPHE-2102651239/2022	27	AY.3
LAO/LOMWRU-1682/2021	5	AY.85
Switzerland/VD-CHUV-GEN6565/2021	21	AY.43
BHR/921227846/2021	-1	B.1.617.2
USA/MD-CDC-LC0192073/2021	-1	B.1.617.2
England/NORW-13F3969/2021	27	AY.4
NGA/CV3076/2021	6	AY.36
KEN/C97622/2021	27	AY.116
SYC/SS4733/2021	19	AY.122
USA/MN-CDC-IBX243968500097/2021	12	AY.100
KEN/SS4154/2021	27	AY.46
NZL/21MV1370/2021	9	AY.39.1.1
KEN/C97982/2021	27	AY.116
USA/1780926/2021	9	AY.39
OV019320	27	B.1.617.2
USA/CO-CDPHE-2101290842/2021	23	AY.25
USA/CO-CDC-FG-027338/2021	2	AY.44
South_Africa/UW21070329826/2021	20	AY.91
USA/CA-CDPH-3000149110/2021	27	AY.116
England/ALDP-272641A/2021	-1	AY.4
BRA/21899718ECS/2021	1	AY.99.2
England/MILK-1926C6E/2021	27	AY.6
USA/IL-CDC-ASC210035698/2021	27	B.1.617.2
England/NORW-13F8560/2021	27	AY.4
BRA/SP-NVBS7110GENOV828108722880/2021	-1	AY.46
BRA/PR-NVBS5874GENOV828086932035/2021	1	AY.99.2
USA/UT-CDC-LC0052754/2021	2	AY.44
USA/CO-CDC-FG-034634/2021	2	AY.44
OY558333	27	AY.4
England/QEUH-15748F8/2021	27	AY.4
LAO/LOMWRU-1788/2021	3	AY.1
BHR/342314247/2021	27	B.1.617.2
USA/IN-CDC-LC0141533/2021	24	AY.103
USA/NY-CDC-QDX27085435/2021	2	AY.44
BHR/342372540/2021	27	B.1.617.2
IND/CWS_0016_47131542/2021	27	B.1.617.2
USA/WA-CDC-UW21090828566/2021	2	AY.44
BRA/SP-NVBS11396GENOV500278615246/2021	10	AY.34.1
