parental_A,parental_B,recombinant_X,method,distance_A_B,distance_A_X,distance_B_X,X_maps_closer_to_both_parentals,X_maps_closer_to_any_parental
BA.2,BA.5,XAS,UMAP,17.0511,3.674,13.6957,True,True
BA.1.1,BA.2.9,XAU,UMAP,10.1479,9.2636,1.9558,True,True
BA.2,BA.5,XAV,UMAP,17.0511,16.1939,1.3502,True,True
BA.2.5,BA.5,XAZ,UMAP,16.84,16.4273,1.3342,True,True
BA.2.75.2,BF.5,XBD,UMAP,5.7086,3.6049,2.2227,True,True
BA.5.2,BE.4.1,XBE,UMAP,1.509,1.0654,1.3894,True,True
BA.2.76,BA.5.2,XBG,UMAP,16.4391,17.3667,1.3617,False,True
BA.2.3.17,BA.2.75.2,XBH,UMAP,22.1513,22.5413,0.4207,False,True
BA.2.3.20,BA.5.2,XBJ,UMAP,4.2613,0.3543,4.0667,True,True
BA.2.75,XBB.1.5.57,XBL,UMAP,26.3898,25.9661,1.1298,True,True
BA.2.76,BF.3,XBM,UMAP,16.6367,16.7561,0.7868,False,True
BA.2.75,XBB.3,XBN,UMAP,26.7213,25.7043,1.3338,True,True
BA.2.75,BQ.1,XBP,UMAP,4.9026,3.747,2.0013,True,True
BA.2.75,BQ.1,XBR,UMAP,4.9026,3.6022,1.9813,True,True
BA.2.75,BQ.1,XBS,UMAP,4.9026,4.0345,2.0265,True,True
BA.2.75,BA.5.2.34,XBT,UMAP,5.8146,4.5996,1.6431,True,True
BA.2.75.3,BQ.1,XBU,UMAP,4.8581,0.9557,4.0547,True,True
CR.1,XBB.1,XBV,UMAP,27.4838,26.2455,1.4858,True,True
BQ.1.14,XBB.1.5,XBW,UMAP,29.9502,28.543,1.6312,True,True
BA.5.2,EF.1.3,XBZ,UMAP,4.388,4.3453,0.4184,True,True
BA.2.75,BQ.1,XCA,UMAP,4.9026,3.417,2.0824,True,True
CH.1.1.1,XBB.1.9.1,XCC,UMAP,26.5509,26.5144,1.4087,True,True
FE.1,XBB,XCF,UMAP,1.7615,1.1809,1.9715,False,True
BA.5.2,XBB.1,XCG,UMAP,27.3669,27.0535,1.0016,True,True
GK.1.3,XBB.1.9,XCH,UMAP,4.0104,0.2733,4.1401,False,True
GK.2.1.1,XBB,XCL,UMAP,4.3358,1.5797,2.9763,True,True
DV.7.1,XBB.2.3,XCM,UMAP,25.641,0.5648,25.0818,True,True
EG.5.1.10,JD.1.1,XCP,UMAP,1.8501,1.2854,0.7436,True,True
XBB.1.5,XBB.2.3,XCQ,UMAP,1.614,1.4984,1.0272,True,True
FU.1.1.1,GK.1.1.1,XCR,UMAP,2.7564,2.8417,0.2233,False,True
DV.7.1,JG.4,XCT,UMAP,23.7123,0.4683,23.2676,True,True
EG.5.1.3,XBB.1.16.19,XCV,UMAP,4.0145,0.8818,4.1771,False,True
XBB.1.16.15,XBB.2.3.20,XCW,UMAP,4.0491,3.3113,0.7979,True,True
HN.5,XBB.1.16,XDA,UMAP,3.318,2.9599,0.7198,True,True
XBB,XBB.1.16.19,XDB,UMAP,6.6891,6.7851,0.6297,False,True
