strain	date	accession	country	region
A/swine/Iowa/A02158357/2018	2018-04-30	MH396706	USA	N
A/swine/Iowa/A02158359/2018	2018-04-27	MH444865	USA	N
A/swine/Iowa/A02158360/2018	2018-05-02	MH396696	USA	N
A/swine/Iowa/A02158519/2018	2018-05-08	MH444861	USA	N
A/swine/Iowa/A02158520/2018	2018-05-08	MH444855	USA	N
A/swine/Iowa/A02158709/2018	2018-05-17	MH463566	USA	N
A/swine/Iowa/A02158714/2018	2018-05-17	MH463590	USA	N
A/swine/Iowa/A02158757/2018	2018-05-21	MH492497	USA	N
A/swine/Iowa/A02169065/2018	2018-05-23	MH540385	USA	N
A/swine/Iowa/A02169067/2018	2018-05-20	MH540409	USA	N
A/swine/Iowa/A02169075/2018	2018-05-29	MH492495	USA	N
A/swine/Iowa/A02169078/2018	2018-05-10	MH540407	USA	N
A/swine/Iowa/A02170011/2018	2018-06-12	MH595474	USA	N
A/swine/Iowa/A02170162/2018	2018-06-13	MH595466	USA	N
A/swine/Iowa/A02171020/2018	2018-07-02	MH684907	USA	N
A/swine/Iowa/A02171026/2018	2018-07-05	MH684917	USA	N
A/swine/Iowa/A02172377/2018	2018-07-13	MH727186	USA	N
A/swine/Iowa/A02245386/2020	2020-01-09	MT052136	USA	N
A/swine/Iowa/A02245525/2020	2020-03-02	MT252940	USA	N
A/swine/Iowa/A02245581/2020	2020-04-06	MT372536	USA	N
A/swine/Iowa/A02254234/2018	2018-07-20	MH744126	USA	N
A/swine/Iowa/A02254263/2018	2018-07-23	MH744124	USA	N
A/swine/Iowa/A02254363/2018	2018-07-25	MH802668	USA	N
A/swine/Iowa/A02254608/2018	2018-07-21	MH802628	USA	N
A/swine/Iowa/A02254778/2018	2018-08-03	MH802672	USA	N
A/swine/Iowa/A02254975/2018	2018-08-10	MH819322	USA	N
A/swine/Iowa/A02255010/2018	2018-08-06	MH819310	USA	N
A/swine/Iowa/A02256649/2018	2018-08-20	MH937431	USA	N
A/swine/Iowa/A02256932/2018	2018-08-30	MH938188	USA	N
A/swine/Iowa/A02257201/2018	2018-09-04	MH992698	USA	N
A/swine/Iowa/A02257387/2018	2018-09-10	MK039805	USA	N
A/swine/Iowa/A02257394/2018	2018-09-12	MK039803	USA	N
A/swine/Iowa/A02257548/2018	2018-09-25	MK072842	USA	N
A/swine/Iowa/A02257806/2018	2018-09-24	MK072840	USA	N
A/swine/Iowa/A02257962/2018	2018-10-03	MK122753	USA	N
A/swine/Iowa/A02266076/2018	2018-10-03	MK122757	USA	N
A/swine/Iowa/A02267871/2018	2018-10-19	MK156630	USA	N
A/swine/Iowa/A02268397/2018	2018-10-24	MK208423	USA	N
A/swine/Iowa/A02268402/2018	2018-10-24	MK208411	USA	N
A/swine/Iowa/A02268516/2018	2018-11-01	MK249076	USA	N
A/swine/Iowa/A02268957/2018	2018-10-31	MK249096	USA	N
A/swine/Iowa/A02268966/2018	2018-11-09	MK266768	USA	N
A/swine/Iowa/A02269643/2018	2018-11-12	MK318188	USA	N
A/swine/Iowa/A02269644/2018	2018-11-05	MK358896	USA	N
A/swine/Iowa/A02269651/2018	2018-11-05	MK266762	USA	N
A/swine/Iowa/A02269695/2018	2018-11-13	MK266772	USA	N
A/swine/Iowa/A02270002/2018	2018-11-14	MK358874	USA	N
A/swine/Iowa/A02271039/2018	2018-11-21	MK358912	USA	N
A/swine/Iowa/A02427667/2018	2018-12-13	MK391644	USA	N
A/swine/Iowa/A02428126/2018	2018-12-26	MK418484	USA	N
A/swine/Iowa/A02429288/2019	2019-01-04	MK452408	USA	N
A/swine/Iowa/A02429496/2019	2019-01-04	MK477689	USA	N
A/swine/Iowa/A02429498/2019	2019-01-04	MK477685	USA	N
A/swine/Iowa/A02429949/2019	2019-01-21	MK532508	USA	N
A/swine/Iowa/A02429951/2019	2019-01-21	MK532500	USA	N
A/swine/Iowa/A02429953/2019	2019-01-22	MK532484	USA	N
A/swine/Iowa/A02430051/2019	2019-01-31	MK564249	USA	N
A/swine/Iowa/A02430102/2019	2019-01-25	MK564265	USA	N
A/swine/Iowa/A02430478/2019	2019-02-11	MK622819	USA	N
A/swine/Iowa/A02430691/2019	2019-02-20	MK640456	USA	N
A/swine/Iowa/A02430907/2019	2019-02-22	MK677400	USA	N
A/swine/Iowa/A02431133/2019	2019-03-11	MK714855	USA	N
A/swine/Iowa/A02431148/2019	2019-03-07	MK714857	USA	N
A/swine/Iowa/A02431352/2019	2019-03-14	MK751577	USA	N
A/swine/Iowa/A02431454/2019	2019-03-20	MK799869	USA	N
A/swine/Iowa/A02431613/2019	2019-03-21	MK799873	USA	N
A/swine/Iowa/A02431885/2019	2019-03-25	MK844261	USA	N
A/swine/Iowa/A02431986/2019	2019-04-04	MK844253	USA	N
A/swine/Iowa/A02431988/2019	2019-04-04	MK844263	USA	N
A/swine/Iowa/A02431991/2019	2019-04-02	MK844255	USA	N
A/swine/Iowa/A02432156/2019	2019-04-08	MK878741	USA	N
A/swine/Iowa/A02432164/2019	2019-04-10	MK878749	USA	N
A/swine/Iowa/A02432168/2019	2019-04-16	MK878751	USA	N
A/swine/Iowa/A02432324/2019	2019-04-15	MK922341	USA	N
A/swine/Iowa/A02432383/2019	2019-04-16	MK922325	USA	N
A/swine/Iowa/A02478446/2019	2019-04-26	MN095390	USA	N
A/swine/Iowa/A02478455/2019	2019-04-25	MK967587	USA	N
A/swine/Iowa/A02478483/2019	2019-05-15	MN022486	USA	N
A/swine/Iowa/A02478486/2019	2019-05-16	MN066333	USA	N
A/swine/Iowa/A02478490/2019	2019-05-09	MN066337	USA	N
A/swine/Iowa/A02478495/2019	2019-05-16	MN066327	USA	N
A/swine/Iowa/A02478507/2019	2019-05-24	MN086864	USA	N
A/swine/Iowa/A02478516/2019	2019-05-20	MN086848	USA	N
A/swine/Iowa/A02478519/2019	2019-06-03	MN095380	USA	N
A/swine/Iowa/A02478521/2019	2019-05-31	MN095384	USA	N
A/swine/Iowa/A02478522/2019	2019-05-28	MN095372	USA	N
A/swine/Iowa/A02478529/2019	2019-06-05	MN128331	USA	N
A/swine/Iowa/A02478536/2019	2019-06-03	MN128335	USA	N
A/swine/Iowa/A02478539/2019	2019-06-05	MN128327	USA	N
A/swine/Iowa/A02478542/2019	2019-06-14	MN150154	USA	N
A/swine/Iowa/A02478548/2019	2019-06-11	MN150164	USA	N
A/swine/Iowa/A02478553/2019	2019-06-07	MN184587	USA	N
A/swine/Iowa/A02478562/2019	2019-06-18	MN193090	USA	N
A/swine/Iowa/A02478563/2019	2019-06-19	MN193096	USA	N
A/swine/Iowa/A02478570/2019	2019-07-01	MN224993	USA	N
A/swine/Iowa/A02478575/2019	2019-07-01	MN224991	USA	N
A/swine/Iowa/A02478578/2019	2019-07-10	MN256847	USA	N
A/swine/Iowa/A02478584/2019	2019-07-10	MN256851	USA	N
A/swine/Iowa/A02478586/2019	2019-07-17	MN307910	USA	N
A/swine/Iowa/A02478588/2019	2019-07-09	MN307920	USA	N
A/swine/Iowa/A02478595/2019	2019-07-16	MN307916	USA	N
A/swine/Iowa/A02478600/2019	2019-07-26	MN319474	USA	N
A/swine/Iowa/A02478601/2019	2019-07-30	MN319480	USA	N
A/swine/Iowa/A02478604/2019	2019-08-01	MN389223	USA	N
A/swine/Iowa/A02478605/2019	2019-08-05	MN389221	USA	N
A/swine/Iowa/A02478617/2019	2019-08-19	MN436834	USA	N
A/swine/Iowa/A02478623/2019	2019-08-21	MN450665	USA	N
A/swine/Iowa/A02478632/2019	2019-09-04	MN517798	USA	N
A/swine/Iowa/A02478634/2019	2019-08-27	MN517786	USA	N
A/swine/Iowa/A02478636/2019	2019-08-26	MN517796	USA	N
A/swine/Iowa/A02478649/2019	2019-09-09	MN517774	USA	N
A/swine/Iowa/A02478650/2019	2019-09-09	MN517762	USA	N
A/swine/Iowa/A02478654/2019	2019-09-03	MN517772	USA	N
A/swine/Iowa/A02478658/2019	2019-09-05	MN517802	USA	N
A/swine/Iowa/A02478672/2019	2019-09-09	MN544236	USA	N
A/swine/Iowa/A02478674/2019	2019-09-09	MN544220	USA	N
A/swine/Iowa/A02478683/2019	2019-09-16	MN575716	USA	N
A/swine/Iowa/A02478688/2019	2019-09-18	MN575722	USA	N
A/swine/Iowa/A02478700/2019	2019-09-24	MN623516	USA	N
A/swine/Iowa/A02478703/2019	2019-09-25	MN623500	USA	N
A/swine/Iowa/A02478723/2019	2019-10-03	MN630813	USA	N
A/swine/Iowa/A02478729/2019	2019-10-08	MN630825	USA	N
A/swine/Iowa/A02478730/2019	2019-10-08	MN630803	USA	N
A/swine/Iowa/A02478735/2019	2019-10-09	MN655811	USA	N
A/swine/Iowa/A02478747/2019	2019-10-11	MN655831	USA	N
A/swine/Iowa/A02478750/2019	2019-10-09	MN655783	USA	N
A/swine/Iowa/A02478758/2019	2019-10-07	MN655815	USA	N
A/swine/Iowa/A02478759/2019	2019-10-07	MN655791	USA	N
A/swine/Iowa/A02478762/2019	2019-10-04	MN655801	USA	N
A/swine/Iowa/A02478764/2019	2019-10-15	MN688594	USA	N
A/swine/Iowa/A02478767/2019	2019-10-16	MN688606	USA	N
A/swine/Iowa/A02478782/2019	2019-10-15	MN688582	USA	N
A/swine/Iowa/A02478817/2019	2019-10-29	MT052110	USA	N
A/swine/Iowa/A02478823/2019	2019-10-31	MT052086	USA	N
A/swine/Iowa/A02478825/2019	2019-10-29	MN846593	USA	N
A/swine/Iowa/A02478829/2019	2019-11-04	MT052106	USA	N
A/swine/Iowa/A02478854/2019	2019-11-06	MN932011	USA	N
A/swine/Iowa/A02478855/2019	2019-11-06	MN857614	USA	N
A/swine/Iowa/A02478861/2019	2019-11-11	MT052072	USA	N
A/swine/Iowa/A02478871/2019	2019-11-12	MN931995	USA	N
A/swine/Iowa/A02478877/2019	2019-11-12	MN857590	USA	N
A/swine/Iowa/A02478878/2019	2019-11-14	MT052128	USA	N
A/swine/Iowa/A02478910/2019	2019-11-20	MN932061	USA	N
A/swine/Iowa/A02478930/2019	2019-12-03	MN932013	USA	N
A/swine/Iowa/A02478955/2019	2019-12-06	MN931967	USA	N
A/swine/Iowa/A02478956/2019	2019-12-04	MN931965	USA	N
A/swine/Iowa/A02478972/2019	2019-12-26	MT052064	USA	N
A/swine/Iowa/A02478976/2019	2019-12-24	MN999907	USA	N
A/swine/Iowa/A02478979/2019	2019-12-31	MN999905	USA	N
A/swine/Iowa/A02478982/2020	2020-01-08	MT020060	USA	N
A/swine/Iowa/A02478997/2020	2020-01-13	MT052098	USA	N
A/swine/Iowa/A02478999/2020	2020-01-14	MT052104	USA	N
A/swine/Iowa/A02479012/2020	2020-01-24	MT077055	USA	N
A/swine/Iowa/A02479018/2020	2020-01-22	MT077035	USA	N
A/swine/Iowa/A02479026/2020	2020-01-22	MT077029	USA	N
A/swine/Iowa/A02479047/2020	2020-02-03	MT121019	USA	N
A/swine/Iowa/A02479050/2020	2020-02-06	MT121025	USA	N
A/swine/Iowa/A02479053/2020	2020-02-07	MT121017	USA	N
A/swine/Iowa/A02479059/2020	2020-02-06	MT154209	USA	N
A/swine/Iowa/A02479069/2020	2020-02-17	MT232768	USA	N
A/swine/Iowa/A02479100/2020	2020-02-25	MT233091	USA	N
A/swine/Iowa/A02479120/2020	2020-03-06	MT277479	USA	N
A/swine/Iowa/A02479126/2020	2020-03-05	MT277378	USA	N
A/swine/Iowa/A02479137/2020	2020-03-18	MT319769	USA	N
A/swine/Iowa/A02479140/2020	2020-03-11	MT367645	USA	N
A/swine/Iowa/A02479154/2020	2020-03-19	MT319811	USA	N
A/swine/Iowa/A02479159/2020	2020-03-23	MT319777	USA	N
A/swine/Kansas/A01378039/2018	2018-03-05	MH234856	USA	N
A/swine/Kansas/A01378040/2018	2018-04-16	MH279898	USA	N
A/swine/Kansas/A01378042/2019	2019-02-08	MK608669	USA	N
A/swine/Kansas/A01378043/2019	2019-02-21	MK751601	USA	N
A/swine/Kansas/A01378045/2019	2019-10-30	MN907128	USA	N
A/swine/Kansas/A01785429/2018	2018-01-29	MG996526	USA	N
A/swine/Kansas/A01785536/2018	2018-05-07	MH445472	USA	N
A/swine/Kansas/A01785556/2018	2018-05-30	MH496719	USA	N
A/swine/Kansas/A01785624/2018	2018-09-19	MK050784	USA	N
A/swine/Kansas/A01785730/2018	2018-10-31	MK243698	USA	N
A/swine/Kansas/A01785735/2018	2018-11-01	MK267263	USA	N
A/swine/Kansas/A01785751/2018	2018-11-13	MK267239	USA	N
A/swine/Kansas/A01785786/2018	2018-12-10	MK388516	USA	N
A/swine/Kansas/A01785815/2019	2019-01-04	MK445323	USA	N
A/swine/Kansas/A02245011/2019	2019-03-18	MK785424	USA	N
A/swine/Kansas/A02245216/2019	2019-08-16	MN447256	USA	N
A/swine/Kansas/A02245241/2019	2019-09-13	MN543900	USA	N
A/swine/Kansas/A02245244/2019	2019-09-19	MN575756	USA	N
A/swine/Kansas/A02245259/2019	2019-10-01	MN575736	USA	N
A/swine/Kansas/A02245345/2019	2019-11-29	MN857566	USA	N
A/swine/Kansas/A02245349/2019	2019-12-03	MN932063	USA	N
A/swine/Kansas/A02245371/2019	2019-12-27	MT020044	USA	N
A/swine/Kansas/A02245376/2020	2020-01-07	MT020046	USA	N
A/swine/Kansas/A02245387/2020	2020-01-10	MT052150	USA	N
A/swine/Kansas/A02430272/2019	2019-02-07	MK587473	USA	N
A/swine/Kansas/A02478669/2019	2019-09-12	MN544234	USA	N
A/swine/Kansas/A02478876/2019	2019-11-13	MT052080	USA	N
A/swine/Kansas/A02479028/2020	2020-01-24	MT077031	USA	N
A/swine/MI/71110/2018	2018-10-11	MN328337	USA	N
A/swine/MN/58835/2018	2018-08-21	MN328335	USA	N
A/swine/MO/28229/2018	2018-04-18	MN328317	USA	N
A/swine/Manitoba/D0524/2018	2018-01-18	MK462886	Canada	N
A/swine/Manitoba/D0525/2018	2018-01-18	MK462701	Canada	N
A/swine/Michigan/A01678583/2018	2018-09-05	MH976803	USA	N
A/swine/Michigan/A02254615/2018	2018-07-25	MH802642	USA	N
A/swine/Michigan/A02427889/2018	2018-12-21	MK405249	USA	N
A/swine/Michigan/A02478737/2019	2019-06-28	MN608553	USA	N
A/swine/Michigan/A02478751/2019	2019-10-08	MN655827	USA	N
A/swine/Michigan/A02479000/2020	2020-01-16	MT052118	USA	N
A/swine/Minnesota/A01678556/2018	2018-04-16	MH299808	USA	N
A/swine/Minnesota/A01678586/2018	2018-09-20	MK014571	USA	N
A/swine/Minnesota/A01678595/2018	2018-10-31	MK181522	USA	N
A/swine/Minnesota/A01785415/2018	2018-01-09	MG930942	USA	N
A/swine/Minnesota/A01785416/2018	2018-01-10	MG954318	USA	N
A/swine/Minnesota/A01785422/2018	2018-01-18	MG930940	USA	N
A/swine/Minnesota/A01785461/2018	2018-03-02	MH157017	USA	N
A/swine/Minnesota/A01785463/2018	2018-03-09	MH157021	USA	N
A/swine/Minnesota/A01785476/2018	2018-03-20	MH223578	USA	N
A/swine/Minnesota/A01785488/2018	2018-03-27	MH376898	USA	N
A/swine/Minnesota/A01785489/2018	2018-03-29	MH252085	USA	N
A/swine/Minnesota/A01785491/2018	2018-03-30	MH223586	USA	N
A/swine/Minnesota/A01785496/2018	2018-04-05	MH279975	USA	N
A/swine/Minnesota/A01785497/2018	2018-04-05	MH341205	USA	N
A/swine/Minnesota/A01785531/2018	2018-05-01	MH412697	USA	N
A/swine/Minnesota/A01785562/2018	2018-06-05	MH546131	USA	N
A/swine/Minnesota/A01785563/2018	2018-06-05	MH561755	USA	N
A/swine/Minnesota/A01785566/2018	2018-06-06	MH546133	USA	N
A/swine/Minnesota/A01785567/2018	2018-06-06	MH561743	USA	N
A/swine/Minnesota/A01785568/2018	2018-06-08	MH561745	USA	N
A/swine/Minnesota/A01785592/2018	2018-08-07	MH814933	USA	N
A/swine/Minnesota/A01785595/2018	2018-08-07	MH814939	USA	N
A/swine/Minnesota/A01785596/2018	2018-08-07	MH802617	USA	N
A/swine/Minnesota/A01785619/2018	2018-09-10	MK024155	USA	N
A/swine/Minnesota/A01785621/2018	2018-09-12	MK024149	USA	N
A/swine/Minnesota/A01785628/2018	2018-09-26	MK071668	USA	N
A/swine/Minnesota/A01785718/2018	2018-10-24	MK176494	USA	N
A/swine/Minnesota/A01785723/2018	2018-10-28	MK176492	USA	N
A/swine/Minnesota/A01785743/2018	2018-11-08	MK267241	USA	N
A/swine/Minnesota/A01785759/2018	2018-11-16	MK297706	USA	N
A/swine/Minnesota/A01785768/2018	2018-11-26	MK317981	USA	N
A/swine/Minnesota/A01785779/2018	2018-12-05	MK388512	USA	N
A/swine/Minnesota/A01785782/2018	2018-12-07	MK388532	USA	N
A/swine/Minnesota/A01785788/2018	2018-12-12	MK405269	USA	N
A/swine/Minnesota/A01785812/2018	2018-12-31	MK405275	USA	N
A/swine/Minnesota/A01785814/2019	2019-01-04	MK445327	USA	N
A/swine/Minnesota/A01785845/2019	2019-01-09	MK506991	USA	N
A/swine/Minnesota/A01785848/2019	2019-01-11	MK506987	USA	N
A/swine/Minnesota/A01785859/2019	2019-01-21	MK512727	USA	N
A/swine/Minnesota/A01785862/2019	2019-01-22	MK512725	USA	N
A/swine/Minnesota/A01785909/2019	2019-01-24	MK551227	USA	N
A/swine/Minnesota/A01785920/2019	2019-01-31	MK551237	USA	N
A/swine/Minnesota/A01785953/2019	2019-02-13	MK577679	USA	N
A/swine/Minnesota/A01785989/2019	2019-02-22	MK785426	USA	N
A/swine/Minnesota/A02157976/2018	2018-04-18	MH350908	USA	N
A/swine/Minnesota/A02158518/2018	2018-05-10	MH444847	USA	N
A/swine/Minnesota/A02158927/2018	2018-05-17	MH540389	USA	N
A/swine/Minnesota/A02171021/2018	2018-07-02	MH684915	USA	N
A/swine/Minnesota/A02245014/2019	2019-03-18	MK785440	USA	N
A/swine/Minnesota/A02245092/2019	2019-03-27	MK859917	USA	N
A/swine/Minnesota/A02245096/2019	2019-03-28	MK821309	USA	N
A/swine/Minnesota/A02245106/2019	2019-04-16	MK871747	USA	N
A/swine/Minnesota/A02245133/2019	2019-05-15	MN044097	USA	N
A/swine/Minnesota/A02245139/2019	2019-05-22	MN044091	USA	N
A/swine/Minnesota/A02245180/2019	2019-06-19	MN168282	USA	N
A/swine/Minnesota/A02245182/2019	2019-06-25	MN183789	USA	N
A/swine/Minnesota/A02245188/2019	2019-06-28	MN183795	USA	N
A/swine/Minnesota/A02245197/2019	2019-07-10	MN241067	USA	N
A/swine/Minnesota/A02245201/2019	2019-07-19	MN307898	USA	N
A/swine/Minnesota/A02245205/2019	2019-07-26	MN447244	USA	N
A/swine/Minnesota/A02245235/2019	2019-09-06	MN543878	USA	N
A/swine/Minnesota/A02245255/2019	2019-09-24	MN575744	USA	N
A/swine/Minnesota/A02245278/2019	2019-10-09	MN630295	USA	N
A/swine/Minnesota/A02245296/2019	2019-10-23	MN688368	USA	N
A/swine/Minnesota/A02245303/2019	2019-10-24	MN688366	USA	N
A/swine/Minnesota/A02245304/2019	2019-10-24	MN688372	USA	N
A/swine/Minnesota/A02245306/2019	2019-10-28	MN688370	USA	N
