strain,umap_x,umap_y,label
Riyadh-KSA-16098/2015,8.984624,17.436773,0
Riyadh-KSA-16117/2015,8.926449,17.560358,0
Riyadh-KSA-16120/2015,8.913933,17.770231,0
Riyadh-KSA-16121/2015,8.694706,17.581367,0
Riyadh-KSA-2716/2015,7.710047,17.434208,0
Riyadh-KSA-3065/2015,5.989085,18.36931,0
Riyadh-KSA-3181/2015,6.5092545,18.89864,0
Riyadh/Ry136/2015,7.945839,18.310307,0
Riyadh/Ry137/2015,7.1340246,16.803352,0
Riyadh/Ry159b/2015,7.9894037,15.726459,0
Riyadh/Ry162/2015,7.306447,18.097218,0
Riyadh/Ry173/2015,6.8479605,17.635702,0
Riyadh/Ry177/2015,6.4280176,17.826027,0
Riyadh/Ry178/2015,6.5830765,17.75836,0
Riyadh/Ry63/2015,7.914021,18.26152,0
Riyadh/Ry64/2015,8.120819,18.479643,0
Riyadh/Ry79/2015,7.2674303,17.959936,0
Riyadh/Ry84N/2014,7.023099,17.710306,0
Riyadh/Ry86/2015,7.2142553,16.98458,0
Riyadh_KKUH_0734,7.265726,19.034157,0
Riyadh_KKUH_0755,5.740596,17.561188,0
Riyadh_KKUH_0756,6.2026186,18.03633,0
Riyadh_KKUH_0780,7.8649564,18.852293,0
Riyadh_KKUH_0801,5.792756,17.410862,0
Riyadh_KKUH_0818,5.5165005,17.40265,0
Riyadh_KKUH_0826,6.5026035,18.008543,0
Riyadh_KKUH_0939,5.6496415,17.067865,0
Riyadh_KKUH_0944,7.180361,18.670237,0
Riyadh_KKUH_1066,7.895077,18.840584,0
Riyadh_KKUH_1080,6.9098306,18.804007,0
Riyadh_KKUH_1145,7.766815,18.685158,0
Riyadh_KKUH_1217,5.669293,17.698206,0
Riyadh_KKUH_1461,5.788475,17.615675,0
Riyadh_KKUH_1470,7.5834455,19.004751,0
Riyadh_KKUH_1522,6.071834,17.041935,0
Riyadh_KSA_2959_2015,6.902489,18.58547,0
Riyadh_KSA_4050_2015,7.638365,18.265236,0
Taif/T150/2015,6.8842645,18.229074,0
Taif/T16/2015,7.823704,17.537968,0
Taif/T22/2015,7.644675,16.789621,0
Taif/T3/2015,7.9686756,17.115171,0
Taif/T68/2015,7.5246277,17.195707,0
Taif/T7/2015,7.675686,17.30552,0
Taif/T89/2015,7.4175367,16.97927,0
Taif/T91b/2015,7.356227,17.09801,0
Taif/T98/2015,8.005882,17.33985,0
THA/CU/17_06_2015,8.807141,17.186594,0
Jordan-N3/2012,0.6620931,14.592229,2
Al-Hasa_23_2013,3.652338,15.3505,2
Al-Hasa_28_2013,3.1935904,15.375638,2
Asir_2_2013,3.1979582,15.09999,2
Hafr-Al-Batin_4_2013,3.7626662,15.092575,2
Hafr-Al-Batin_5_2013,3.693105,14.941165,2
Riyadh_6_2013,4.0283732,14.683293,2
