strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
Aedes_aegypti/MEX/MEX_I_44/2016	zika	KY648934	2016-XX-XX	north_america	mexico	mexico	mexico	genbank	genome	Shabman et al	https://www.ncbi.nlm.nih.gov/nuccore/KY648934	Direct Submission	Submitted (22-FEB-2017) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	?
Aedes_aegypti/USA/2016/FL01	zika	KX838904	2016-08-22	north_america	usa	usa	usa	genbank	genome	Grubaugh et al	https://www.ncbi.nlm.nih.gov/nuccore/KX838904	Genomic epidemiology reveals multiple introductions of Zika virus into the United States	Nature (2017) In press	https://www.ncbi.nlm.nih.gov/pubmed/28538723
Aedes_aegypti/USA/2016/FL02	zika	KX838905	2016-08-23	north_america	usa	usa	usa	genbank	genome	Grubaugh et al	https://www.ncbi.nlm.nih.gov/nuccore/KX838905	Genomic epidemiology reveals multiple introductions of Zika virus into the United States	Nature (2017) In press	https://www.ncbi.nlm.nih.gov/pubmed/28538723
Aedes_aegypti/USA/2016/FL03	zika	KX838906	2016-08-23	north_america	usa	usa	usa	genbank	genome	Grubaugh et al	https://www.ncbi.nlm.nih.gov/nuccore/KX838906	Genomic epidemiology reveals multiple introductions of Zika virus into the United States	Nature (2017) In press	https://www.ncbi.nlm.nih.gov/pubmed/28538723
Aedes_aegypti/USA/2016/FL04	zika	KX922708	2016-09-04	north_america	usa	usa	usa	genbank	genome	Grubaugh et al	https://www.ncbi.nlm.nih.gov/nuccore/KX922708	Genomic epidemiology reveals multiple introductions of Zika virus into the United States	Nature (2017) In press	https://www.ncbi.nlm.nih.gov/pubmed/28538723
Aedes_aegypti/USA/2016/FL05	zika	KY075937	2016-09-09	north_america	usa	usa	usa	genbank	genome	Grubaugh et al	https://www.ncbi.nlm.nih.gov/nuccore/KY075937	Genomic epidemiology reveals multiple introductions of Zika virus into the United States	Nature (2017) In press	https://www.ncbi.nlm.nih.gov/pubmed/28538723
Aedes_aegypti/USA/2016/FL06	zika	KY075938	2016-09-20	north_america	usa	usa	usa	genbank	genome	Grubaugh et al	https://www.ncbi.nlm.nih.gov/nuccore/KY075938	Genomic epidemiology reveals multiple introductions of Zika virus into the United States	Nature (2017) In press	https://www.ncbi.nlm.nih.gov/pubmed/28538723
Aedes_aegypti/USA/2016/FL08	zika	KY075939	2016-10-05	north_america	usa	usa	usa	genbank	genome	Grubaugh et al	https://www.ncbi.nlm.nih.gov/nuccore/KY075939	Genomic epidemiology reveals multiple introductions of Zika virus into the United States	Nature (2017) In press	https://www.ncbi.nlm.nih.gov/pubmed/28538723
Aedes_sp/MEX_I_44/2016	zika	KX856011	2016-01-01	north_america	mexico	mexico	mexico	genbank	genome	Balaraman et al	https://www.ncbi.nlm.nih.gov/nuccore/KX856011	Zika virus infection in pregnant mice	Unpublished	?
Aedessp/MEX/MEX_2_81/2016	zika	KX446950	2016-01-01	north_america	mexico	mexico	mexico	genbank	genome	Shabman et al	https://www.ncbi.nlm.nih.gov/nuccore/KX446950	Direct Submission	Submitted (27-JUN-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	?
Aedessp/MEX/MEX_I_7/2016	zika	KX446951	2016-01-01	north_america	mexico	mexico	mexico	genbank	genome	Shabman et al	https://www.ncbi.nlm.nih.gov/nuccore/KX446951	Direct Submission	Submitted (27-JUN-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	?
Angola/2017/P151	zika	MK829153	2017-06-XX	africa	angola	angola	angola	genbank	genome	Hill et al	https://www.ncbi.nlm.nih.gov/nuccore/MK829153	Emergence of the Asian lineage of Zika virus in Angola: an outbreak investigation	Lancet Infect Dis 19 (10), 1138-1147 (2019)	https://www.ncbi.nlm.nih.gov/pubmed/31559967
Angola/2017/PoHuZV634959	zika	MK829154	2017-10-26	africa	angola	angola	angola	genbank	genome	Hill et al	https://www.ncbi.nlm.nih.gov/nuccore/MK829154	Emergence of the Asian lineage of Zika virus in Angola: an outbreak investigation	Lancet Infect Dis 19 (10), 1138-1147 (2019)	https://www.ncbi.nlm.nih.gov/pubmed/31559967
Angola/2017/Z3	zika	MK829152	2017-05-25	africa	angola	angola	angola	genbank	genome	Hill et al	https://www.ncbi.nlm.nih.gov/nuccore/MK829152	Emergence of the Asian lineage of Zika virus in Angola: an outbreak investigation	Lancet Infect Dis 19 (10), 1138-1147 (2019)	https://www.ncbi.nlm.nih.gov/pubmed/31559967
BKK03	zika	MG548660	2016-11-30	southeast_asia	thailand	thailand	thailand	genbank	genome	Wongsurawat et al	https://www.ncbi.nlm.nih.gov/nuccore/MG548660	Case of Microcephaly after Congenital Infection with Asian Lineage Zika Virus, Thailand	Emerging Infect. Dis. 24 (9) (2018) In press	https://www.ncbi.nlm.nih.gov/pubmed/29985788
BKK04	zika	MG548661	2016-11-30	southeast_asia	thailand	thailand	thailand	genbank	genome	Wongsurawat et al	https://www.ncbi.nlm.nih.gov/nuccore/MG548661	Case of Microcephaly after Congenital Infection with Asian Lineage Zika Virus, Thailand	Emerging Infect. Dis. 24 (9) (2018) In press	https://www.ncbi.nlm.nih.gov/pubmed/29985788
BKK07	zika	MH013290	2017-10-01	southeast_asia	thailand	thailand	thailand	genbank	genome	Wongsurawat et al	https://www.ncbi.nlm.nih.gov/nuccore/MH013290	Case of Microcephaly after Congenital Infection with Asian Lineage Zika Virus, Thailand	Emerging Infect. Dis. 24 (9) (2018) In press	https://www.ncbi.nlm.nih.gov/pubmed/29985788
BR/AM/16800005	zika	KY631492	2016-01-08	south_america	brazil	brazil	brazil	genbank	genome	Souza et al	https://www.ncbi.nlm.nih.gov/nuccore/KY631492	Complete Genome of a Zika Virus Isolate, Amazonas, Brazil, 2016	Unpublished	?
BR/NHP_17_05/2017	zika	MG770183	2017-01-26	south_america	brazil	brazil	brazil	genbank	genome	Terzian et al	https://www.ncbi.nlm.nih.gov/nuccore/MG770183	Evidence of natural Zika virus infection in neotropical non-human primates in Brazil	Sci Rep 8 (1), 16034 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/30375482
BR/NHP_17_17/2017	zika	MG770184	2017-03-03	south_america	brazil	brazil	brazil	genbank	genome	Terzian et al	https://www.ncbi.nlm.nih.gov/nuccore/MG770184	Evidence of natural Zika virus infection in neotropical non-human primates in Brazil	Sci Rep 8 (1), 16034 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/30375482
BR/NHP_17_18/2017	zika	MG770185	2017-03-03	south_america	brazil	brazil	brazil	genbank	genome	Terzian et al	https://www.ncbi.nlm.nih.gov/nuccore/MG770185	Evidence of natural Zika virus infection in neotropical non-human primates in Brazil	Sci Rep 8 (1), 16034 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/30375482
BR/NHP_17_19/2017	zika	MG770186	2017-03-03	south_america	brazil	brazil	brazil	genbank	genome	Terzian et al	https://www.ncbi.nlm.nih.gov/nuccore/MG770186	Evidence of natural Zika virus infection in neotropical non-human primates in Brazil	Sci Rep 8 (1), 16034 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/30375482
BR/Sinop/H355/2015	zika	MH513598	2015-12-09	south_america	brazil	brazil	brazil	genbank	genome	Bronzoni et al	https://www.ncbi.nlm.nih.gov/nuccore/MH513598	Molecular characterization of arbovirus from the Amazon Basin, Brazil	Unpublished	?
BR/Sinop/H366/2015	zika	MH513599	2015-12-11	south_america	brazil	brazil	brazil	genbank	genome	Bronzoni et al	https://www.ncbi.nlm.nih.gov/nuccore/MH513599	Molecular characterization of arbovirus from the Amazon Basin, Brazil	Unpublished	?
BR/Sinop/H366_2P/2015	zika	MH513600	2015-12-11	south_america	brazil	brazil	brazil	genbank	genome	Bronzoni et al	https://www.ncbi.nlm.nih.gov/nuccore/MH513600	Molecular characterization of arbovirus from the Amazon Basin, Brazil	Unpublished	?
BRA/2016/FC_5790	zika	KY785446	2016-03-22	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785446	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_5905	zika	KY014308	2016-03-23	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY014308	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_6418	zika	KY785410	2016-03-27	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785410	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
