strain,tsne_x,tsne_y,t-sne_label
A/SouthAustralia/12/2018,35.815937,-8.248947,2
A/Victoria/2038/2018,37.026142,-8.608966,2
A/Victoria/721/2018,36.4211,-9.700353,2
A/SouthAustralia/167/2018,39.897415,-11.291295,2
A/Minnesota/58/2018,40.49933,-10.484278,2
A/Victoria/1004/2018,35.550293,-7.4226904,2
A/SouthAustralia/179/2018,37.95505,-8.816291,2
A/SouthAustralia/1028/2018,31.699757,-10.963803,2
A/Victoria/722/2018,31.712156,-10.953008,2
A/SouthAustralia/174/2018,31.195644,-11.067471,2
A/NewYork/40/2018,36.257732,-11.643267,2
A/Townsville/23/2018,36.3335,-7.40022,2
A/Massachusetts/14/2019,40.74467,-8.071461,2
A/Wisconsin/555/2019,40.621513,-7.2201285,2
A/California/96/2018,33.889374,-9.164671,2
A/NewHampshire/24/2018,34.327534,-9.191679,2
A/Moscow/119/2019,35.18721,-3.7020893,2
A/Florida/94/2019,41.24769,-6.287693,2
A/Brisbane/115/2018,34.140373,-13.230804,2
A/Brisbane/67/2018,34.13917,-13.250485,2
A/Sydney/1002/2018,34.87483,-8.245555,2
A/RhodeIsland/10/2020,32.25411,-4.719424,2
A/Sydney/34/2018,38.767715,-8.715229,2
A/Grozny/88/2019,35.572006,-9.492877,2
A/Hawaii/44/2018,29.962784,-19.807165,1
A/Hawaii/46/2018,30.134052,-20.39327,1
A/SouthAustralia/186/2018,30.128754,-20.4526,1
A/SouthAustralia/87/2018,30.559444,-20.569824,1
A/Sydney/100/2018,30.740955,-20.614237,1
A/Victoria/2041/2018,30.969278,-20.779913,1
A/Wisconsin/98/2018,29.850937,-20.579191,1
A/Hawaii/47/2018,29.858849,-21.33067,1
A/Wisconsin/95/2018,30.040123,-21.041508,1
A/Hawaii/50/2018,29.399792,-19.150707,1
A/Michigan/386/2018,30.343494,-19.28608,1
A/Hawaii/53/2018,29.161428,-19.532343,1
A/Michigan/385/2018,31.35045,-20.8429,1
A/Minnesota/50/2018,29.425749,-20.963087,1
A/Hawaii/51/2018,28.410305,-19.38719,1
A/Hawaii/52/2018,28.40997,-19.384989,1
A/SouthAustralia/1006/2018,30.63943,-22.485476,1
A/SouthAustralia/1009/2018,30.621765,-22.402287,1
A/SouthAustralia/19/2018,30.609125,-22.321589,1
A/SouthAustralia/54/2018,30.675068,-18.619612,1
A/SouthAustralia/69/2018,31.526684,-19.325504,1
A/SouthAustralia/161/2018,28.630617,-20.774164,1
A/Wisconsin/99/2018,30.998312,-18.158016,1
A/Brisbane/101/2018,29.835878,-17.697931,1
A/California/191/2019,40.737316,-2.310172,2
A/Hawaii/01/2020,40.806686,-2.3163955,2
A/Colorado/46/2019,39.76013,-2.546181,2
A/Hawaii/03/2020,40.172787,-2.2717142,2
A/Hawaii/65/2019,39.63154,-1.7277409,2
A/Santiago/PUC-MVL_022/2018,37.648712,-6.7931776,2
A/Santiago/p003d0/2018,37.728516,-6.5646057,2
A/Santiago/p016d0/2018,36.643497,-8.80099,2
A/Alaska/43/2018,-10.07597,37.010345,3
A/Alaska/46/2018,-8.243171,36.672085,3
A/California/71/2018,-8.060269,36.568398,3
A/Newcastle/22/2018,-8.249534,36.676285,3
A/Sydney/521/2018,-8.249534,36.676285,3
A/Vermont/22/2018,-8.074927,36.41826,3
A/NewJersey/26/2018,-9.236436,36.611633,3
A/Brisbane/161/2018,-7.1272106,38.201134,3
A/Victoria/2036/2018,-7.240681,38.0773,3
A/Victoria/901/2018,-7.1441345,38.21364,3
A/Victoria/1003/2018,-7.059719,38.73074,3
A/Newcastle/67/2018,-6.690888,38.4781,3
A/Brisbane/43/2018,-5.727614,35.356647,3
A/Sydney/515/2018,-5.3116775,34.861816,3
A/Sydney/92/2018,-5.311678,34.861816,3
A/Brisbane/57/2018,-7.173102,36.826603,3
A/Brisbane/40/2018,-8.002938,37.21883,3
A/Florida/65/2018,-9.72601,38.675278,3
A/Montana/43/2018,-9.416601,34.57521,3
A/Sydney/1038/2018,-9.017497,34.723682,3
A/Washington/186/2018,-8.980927,34.92204,3
A/Victoria/2020/2018,-10.147823,36.302235,3
A/Brisbane/55/2018,-5.173131,35.384926,3
A/Idaho/20/2018,-4.4169326,35.390656,3
A/SouthAustralia/11/2018,-5.584452,35.73384,3
A/Hawaii/42/2018,-6.87075,36.05264,3
A/SouthAustralia/13/2018,-3.853676,34.317924,3
A/Hawaii/43/2018,-9.18163,37.74641,3
A/Virginia/44/2018,-8.521175,37.632393,3
A/Connecticut/32/2018,-6.167699,34.51265,3
A/Canberra/9/2018,-8.250578,35.720284,3
A/Arizona/37/2018,-4.113846,36.08572,3
A/Sydney/47/2018,-1.9776338,34.940945,3
A/Sydney/55/2018,-2.0356605,34.91652,3
A/Sydney/93/2018,-1.7641448,35.114838,3
A/Victoria/701/2018,-1.7435719,35.065945,3
A/Sydney/83/2018,-2.0663462,34.848625,3
A/Hawaii/45/2018,-8.5970335,38.672443,3
A/Texas/137/2018,-3.2756207,38.56987,3
A/Wisconsin/502/2018,-3.232161,38.648983,3
A/Wisconsin/504/2018,-3.2326763,38.65011,3
A/NewJersey/38/2018,-7.6553164,35.344906,3
A/Brisbane/1002/2018,-3.509105,29.579414,3
A/Brisbane/112/2018,-3.4593408,29.678608,3
A/Brisbane/73/2018,-3.4315858,29.736225,3
A/Brisbane/89/2018,-3.4443038,29.716223,3
A/Nebraska/08/2018,-2.8213773,31.27678,3
A/Ohio/22/2018,-2.836252,31.22646,3
A/NewJersey/33/2018,-2.7813356,32.002064,3
A/SouthAustralia/10/2018,-1.0760839,31.502491,3
A/Maryland/48/2018,-4.9200835,33.48219,3
A/Connecticut/39/2018,-8.242595,40.331013,3
A/Brisbane/54/2018,-5.8802648,32.20287,3
A/Indiana/28/2018,-6.2846117,31.94165,3
A/Virginia/53/2018,-6.5202465,31.727493,3
A/Alaska/47/2018,-13.278205,36.387287,3
A/Alaska/52/2018,-13.31781,36.381893,3
A/Brisbane/142/2018,-12.916104,36.437004,3
A/Italy/7836/2018,-13.317806,36.381874,3
A/Louisiana/17/2018,-3.7984128,33.58179,3
A/Alberta/061/2018,-9.447573,36.381664,3
A/Germany/7356/2018,-9.507307,36.660343,3
A/Quebec/217/2018,-8.25577,36.661514,3
A/Guam/7699/2018,-9.640559,33.560154,3
A/Guam/7833/2019,-9.681479,33.477123,3
A/SouthKorea/8204/2019,-9.012888,34.721745,3
A/Ontario/239/2018,-4.4381123,35.349136,3
A/Ontario/245/2018,-4.8176227,36.935757,3
A/Quebec/219/2018,-4.8277617,36.62649,3
A/Italy/8443/2019,-9.934709,38.987946,3
A/California/7330/2018,-3.8920653,33.814663,3
A/Virginia/7393/2018,-6.100434,32.080322,3
A/Guam/7222/2018,-10.657344,35.307175,3
A/SouthKorea/8668/2019,-8.242657,40.400196,3
A/Italy/9367/2019,-10.957226,37.871906,3
A/Pernambuco/9511/2018,-0.9854282,31.481857,3
A/Santiago/PUC-MVL_025/2018,-2.0563517,32.47225,3
A/Santiago/PUC-MVL_042/2018,-2.127045,32.394306,3
A/Chad/9833/2019,3.8488424,30.155535,3
A/Chad/9834/2019,3.8495417,30.151184,3
A/Hawaii/51/2019,3.7831988,28.006855,3
A/SouthAustralia/79/2018,3.7268033,28.084562,3
A/Utah/27/2018,3.741249,28.065174,3
A/Victoria/2118/2018,3.7440538,28.0724,3
A/SouthAustralia/22/2018,31.798145,-8.061686,2
A/Italy/8602/2019,-27.553175,1.7453346,0
A/Arizona/16/2019,-39.21669,0.064338766,0
A/Georgia/40/2018,-40.0408,1.0079831,0
A/Indiana/05/2019,-40.039436,1.0086426,0
A/Kentucky/35/2018,-40.040802,1.0079834,0
A/SouthCarolina/04/2018,-40.0408,1.0079831,0
A/Georgia/41/2018,-39.238876,1.878319,0
A/Wyoming/08/2019,-39.989502,0.21216731,0
A/Wyoming/14/2019,-40.435844,1.7748213,0
A/Utah/30/2019,-38.886913,-0.27374783,0
A/Illinois/13/2019,-38.35347,1.2573304,0
A/Kentucky/36/2018,-41.42604,4.4502745,0
A/Mississippi/19/2019,-41.42704,4.4505405,0
A/Pennsylvania/05/2019,-39.70513,-1.0086191,0
A/NewHampshire/09/2019,-38.353096,1.2564145,0
A/California/54/2019,-43.935028,-2.3776698,0
A/Minnesota/36/2019,-43.935028,-2.3776698,0
A/NewHampshire/15/2019,-44.49924,-2.8135269,0
A/NorthDakota/21/2019,-45.052395,-1.6189878,0
A/Tennessee/66/2019,-44.329895,-1.7599604,0
A/Hawaii/48/2019,-42.576317,-2.346035,0
A/Oklahoma/14/2019,-45.341137,-2.437058,0
A/Hawaii/43/2019,-40.76807,5.2677836,0
A/Arizona/28/2019,-44.978233,-0.6915934,0
A/Minnesota/26/2019,-44.221012,-4.193125,0
A/Ohio/08/2019,-41.762623,0.05393838,0
A/Michigan/384/2019,-42.064674,5.330773,0
A/Louisiana/34/2019,-36.41305,-0.6622771,0
A/California/138/2019,-31.724699,-1.3544871,0
A/Florida/127/2018,-31.299511,-1.0695996,0
A/Wisconsin/133/2019,-31.299278,-1.0697765,0
A/Iowa/02/2019,-31.299444,-1.0712957,0
A/Delaware/18/2019,-31.099451,-1.640675,0
A/Pennsylvania/78/2018,-30.71382,0.14500758,0
A/Perth/1001/2018,-30.374918,1.0042274,0
A/Perth/1008/2018,-30.410772,1.0953299,0
A/Perth/103/2018,-30.536325,1.2506832,0
A/Wisconsin/91/2018,-31.03317,0.21605252,0
A/Wisconsin/93/2018,-31.14838,0.25946596,0
A/Ohio/23/2018,-29.486256,1.2300756,0
A/Florida/106/2018,-32.293633,1.8148003,0
A/Florida/83/2018,-32.204243,1.793073,0
A/Indiana/24/2018,-29.800837,-0.50000453,0
A/Montana/01/2019,-30.70068,3.9578269,0
A/Utah/35/2019,-30.91914,4.1560535,0
A/SouthDakota/60/2018,-30.918438,4.155488,0
A/Montana/07/2020,-31.642942,4.580989,0
A/Nevada/07/2020,-31.551933,4.538963,0
A/Minnesota/39/2019,-42.89848,-4.640717,0
A/Minnesota/76/2019,-34.654552,-3.1935618,0
A/Florida/11/2020,-46.277233,-2.5436769,0
A/WestVirginia/35/2019,-40.743717,-0.66419494,0
A/Belgium/9021/2019,-36.02343,-1.1685513,0
A/England/9336/2019,-35.58197,-0.43905064,0
A/England/9658/2019,-35.5757,0.07790864,0
A/England/9662/2019,-35.586044,0.33007622,0
A/Germany/8908/2019,-35.159996,-1.5216957,0
