strain	date	accession	country	region
A/Alaska/112/2015	2015-07-04	KX003707	USA	N
A/Alaska/117/2015	2015-07-07	KX003747	USA	N
A/Alaska/119/2015	2015-07-08	KX003763	USA	N
A/Alaska/12/2017	2017-03-30	CY230738	USA	N
A/Alaska/122/2015	2015-07-05	KX003795	USA	N
A/Alaska/123/2015	2015-07-15	KX003803	USA	N
A/Alaska/124/2015	2015-07-14	KX003811	USA	N
A/Alaska/126/2015	2015-07-17	KX003819	USA	N
A/Alaska/127/2015	2015-07-17	KX003827	USA	N
A/Alaska/129/2015	2015-07-18	KX003843	USA	N
A/Alaska/13/2017	2017-04-03	CY235496	USA	N
A/Alaska/131/2015	2015-07-23	KX003851	USA	N
A/Alaska/134/2015	2015-07-26	KX003875	USA	N
A/Alaska/137/2015	2015-08-02	KT844135	USA	N
A/Alaska/138/2015	2015-08-03	KT844143	USA	N
A/Alaska/139/2015	2015-08-04	KT844151	USA	N
A/Alaska/14/2015	2015-06-03	KT843621	USA	N
A/Alaska/143/2015	2015-08-06	KT844183	USA	N
A/Alaska/146/2015	2015-07-23	KT844207	USA	N
A/Alaska/15/2019	2019-02-10	MN000645	USA	N
A/Alaska/154/2015	2015-07-24	KU589699	USA	N
A/Alaska/155/2015	2015-08-08	KU589707	USA	N
A/Alaska/157/2015	2015-08-13	KU589974	USA	N
A/Alaska/16/2017	2017-04-22	CY235632	USA	N
A/Alaska/16/2019	2019-02-12	MN000653	USA	N
A/Alaska/163/2015	2015-08-04	KX412093	USA	N
A/Alaska/164/2015	2015-08-03	KX412101	USA	N
A/Alaska/166/2015	2015-08-15	KX412117	USA	N
A/Alaska/17/2015	2015-06-01	KT844265	USA	N
A/Alaska/17/2017	2017-06-23	CY239904	USA	N
A/Alaska/170/2015	2015-08-21	KX412141	USA	N
A/Alaska/172/2015	2015-08-26	KU591548	USA	N
A/Alaska/18/2015	2015-06-01	KT844339	USA	N
A/Alaska/183/2015	2015-08-16	KU591379	USA	N
A/Alaska/19/2017	2017-05-06	CY240087	USA	N
A/Alaska/19/2019	2019-02-20	MN221597	USA	N
A/Alaska/192/2015	2015-08-16	KU589556	USA	N
A/Alaska/194/2015	2015-08-17	KX412209	USA	N
A/Alaska/195/2015	2015-08-24	KX412217	USA	N
A/Alaska/205/2015	2015-09-07	KX412273	USA	N
A/Alaska/206/2015	2015-09-07	KX003958	USA	N
A/Alaska/208/2015	2015-09-02	KU590321	USA	N
A/Alaska/209/2015	2015-09-07	KX003974	USA	N
A/Alaska/21/2017	2017-06-16	CY240079	USA	N
A/Alaska/216/2015	2015-09-06	KU591797	USA	N
A/Alaska/217/2015	2015-09-07	KU591976	USA	N
A/Alaska/218/2015	2015-09-07	KU591984	USA	N
A/Alaska/22/2015	2015-06-06	KY090499	USA	N
A/Alaska/22/2016	2016-06-06	KX916788	USA	N
A/Alaska/221/2015	2015-09-03	KU591813	USA	N
A/Alaska/224/2015	2015-09-12	KX412284	USA	N
A/Alaska/226/2015	2015-09-10	KX412292	USA	N
A/Alaska/229/2015	2015-09-13	KU592008	USA	N
A/Alaska/23/2016	2016-06-15	KX916780	USA	N
A/Alaska/23/2018	2018-01-22	MH601233	USA	N
A/Alaska/23/2019	2019-04-11	MN084112	USA	N
A/Alaska/230/2015	2015-09-14	KU592016	USA	N
A/Alaska/232/2015	2015-09-09	KY116959	USA	N
A/Alaska/233/2015	2015-09-16	KX412300	USA	N
A/Alaska/234/2015	2015-09-16	KX412308	USA	N
A/Alaska/239/2015	2015-09-16	KU590778	USA	N
A/Alaska/24/2016	2016-09-08	KY003458	USA	N
A/Alaska/24/2019	2019-04-12	MN084120	USA	N
A/Alaska/240/2015	2015-09-15	KY116951	USA	N
A/Alaska/245/2015	2015-09-10	KU591868	USA	N
A/Alaska/25/2017	2017-07-21	CY244521	USA	N
A/Alaska/250/2015	2015-09-20	KX412324	USA	N
A/Alaska/252/2015	2015-09-21	KX412338	USA	N
A/Alaska/253/2015	2015-10-02	KU590526	USA	N
A/Alaska/254/2015	2015-10-05	KU590534	USA	N
A/Alaska/257/2015	2015-10-11	KU591268	USA	N
A/Alaska/26/2015	2015-06-14	KT843655	USA	N
A/Alaska/26/2016	2016-09-20	CY211514	USA	N
A/Alaska/26/2017	2017-06-02	CY243519	USA	N
A/Alaska/26/2019	2019-04-27	MN221610	USA	N
A/Alaska/260/2015	2015-10-22	KU591582	USA	N
A/Alaska/264/2015	2015-11-11	KX413457	USA	N
A/Alaska/269/2015	2015-11-16	KX412998	USA	N
A/Alaska/27/2017	2017-06-03	CY243535	USA	N
A/Alaska/28/2017	2017-06-05	CY243527	USA	N
A/Alaska/29/2016	2016-10-31	CY209128	USA	N
A/Alaska/29/2017	2017-06-08	CY243543	USA	N
A/Alaska/31/2017	2017-06-26	CY243559	USA	N
A/Alaska/31/2019	2019-07-04	MN423475	USA	N
A/Alaska/32/2016	2016-12-05	CY212474	USA	N
A/Alaska/32/2017	2017-06-30	CY243567	USA	N
A/Alaska/32/2019	2019-07-12	MN507299	USA	N
A/Alaska/33/2015	2015-06-19	KT843801	USA	N
A/Alaska/33/2017	2017-06-30	CY243575	USA	N
A/Alaska/33/2019	2019-07-17	MN507307	USA	N
A/Alaska/34/2018	2018-04-05	MH600575	USA	N
A/Alaska/35/2016	2016-12-13	CY213154	USA	N
A/Alaska/35/2017	2017-07-07	CY244974	USA	N
A/Alaska/35/2019	2019-07-22	MN552556	USA	N
A/Alaska/36/2015	2015-06-16	KT843825	USA	N
A/Alaska/36/2017	2017-07-09	CY243607	USA	N
A/Alaska/36/2019	2019-07-27	MN552564	USA	N
A/Alaska/37/2016	2016-12-30	CY214746	USA	N
A/Alaska/37/2017	2017-07-11	CY243591	USA	N
A/Alaska/37/2019	2019-08-08	MN581488	USA	N
A/Alaska/38/2019	2019-08-11	MN581500	USA	N
A/Alaska/40/2018	2018-04-16	MH600601	USA	N
A/Alaska/40/2019	2019-08-23	MN638459	USA	N
A/Alaska/42/2017	2017-07-24	CY243631	USA	N
A/Alaska/43/2017	2017-07-29	CY243647	USA	N
A/Alaska/43/2018	2018-05-09	MH669563	USA	N
A/Alaska/44/2015	2015-06-21	KU590660	USA	N
A/Alaska/45/2017	2017-07-30	CY243655	USA	N
A/Alaska/46/2018	2018-06-01	MK027499	USA	N
A/Alaska/46/2019	2019-09-14	MT030881	USA	N
A/Alaska/4610/2015	2015-01-21	CY193863	USA	N
A/Alaska/47/2015	2015-06-23	KX003502	USA	N
A/Alaska/47/2017	2017-08-03	CY244990	USA	N
A/Alaska/47/2018	2018-09-04	MK181827	USA	N
A/Alaska/4733/2015	2015-02-05	CY193986	USA	N
A/Alaska/48/2015	2015-06-21	KU589832	USA	N
A/Alaska/4889/2015	2015-11-16	CY208122	USA	N
A/Alaska/49/2019	2019-10-03	MN948436	USA	N
A/Alaska/50/2015	2015-06-16	KU589675	USA	N
A/Alaska/50/2018	2018-09-13	MK181835	USA	N
A/Alaska/52/2018	2018-09-12	MK363611	USA	N
A/Alaska/53/2019	2019-10-16	MN819915	USA	N
A/Alaska/54/2017	2017-08-28	CY245150	USA	N
A/Alaska/55/2017	2017-08-30	CY245126	USA	N
A/Alaska/56/2017	2017-08-31	CY245142	USA	N
A/Alaska/57/2017	2017-09-01	CY245134	USA	N
A/Alaska/5723/2017	2017-01-18	CY235005	USA	N
A/Alaska/58/2015	2015-06-17	KU591217	USA	N
A/Alaska/58/2018	2018-11-17	MK474845	USA	N
A/Alaska/59/2015	2015-06-17	KU590097	USA	N
A/Alaska/60/2015	2015-06-15	KU591225	USA	N
A/Alaska/60/2017	2017-08-22	CY247086	USA	N
A/Alaska/62/2017	2017-09-07	CY247102	USA	N
A/Alaska/6385/2017	2017-11-02	MH294732	USA	N
A/Alaska/6438/2017	2017-12-08	MH294804	USA	N
A/Alaska/65/2015	2015-06-26	KT843553	USA	N
A/Alaska/6516/2017	2017-12-29	MH294882	USA	N
A/Alaska/67/2015	2015-07-01	KU589623	USA	N
A/Alaska/68/2015	2015-06-25	KT843603	USA	N
A/Alaska/69/2015	2015-06-26	KT843613	USA	N
A/Alaska/69/2017	2017-11-09	CY260857	USA	N
A/Alaska/6939/2018	2018-03-21	MK381471	USA	N
A/Alaska/7118/2018	2018-02-07	MK400714	USA	N
A/Alaska/75/2015	2015-06-23	KX003539	USA	N
A/Alaska/75/2017	2017-11-27	CY265085	USA	N
A/Alaska/7516/2018	2018-10-30	MK380017	USA	N
A/Alaska/7957/2019	2019-01-15	MK743202	USA	N
A/Alaska/80/2015	2015-06-30	KX003563	USA	N
A/Alaska/81/2017	2017-12-23	MH081924	USA	N
A/Alaska/8100/2019	2019-01-24	MK763512	USA	N
A/Alaska/82/2017	2017-12-28	MH081932	USA	N
A/Alaska/83/2017	2017-10-03	MH669458	USA	N
A/Alaska/8567/2019	2019-02-01	MK868681	USA	N
A/Alaska/87/2017	2017-10-21	MH601306	USA	N
A/Alaska/8719/2019	2019-03-08	MK912414	USA	N
A/Alaska/90/2017	2017-11-17	MH131222	USA	N
A/Alaska/9014/2019	2019-03-11	MN169312	USA	N
A/Alaska/9015/2019	2019-03-19	MN169320	USA	N
A/Alaska/91/2017	2017-11-19	MH131230	USA	N
A/Alaska/9321/2019	2019-03-26	MK960332	USA	N
A/Alaska/9324/2019	2019-03-13	MK960348	USA	N
A/Alaska/97/2017	2017-12-15	MH131278	USA	N
A/Alaska/99/2017	2017-12-18	MH131294	USA	N
A/Alberta/003/2017	2017-01-02	KY583539	Canada	N
A/Alberta/004/2017	2017-01-03	KY583534	Canada	N
A/Alberta/004/2018	2018-01-06	MN538394	Canada	N
A/Alberta/005/2017	2017-01-05	KY583510	Canada	N
A/Alberta/006/2017	2017-01-06	KY583511	Canada	N
A/Alberta/006/2018	2018-01-09	MN538674	Canada	N
A/Alberta/014/2018	2018-01-11	MN538711	Canada	N
A/Alberta/016/2018	2018-01-15	MN538696	Canada	N
A/Alberta/017/2018	2018-01-16	MN538579	Canada	N
A/Alberta/018/2018	2018-01-15	MN538430	Canada	N
A/Alberta/020/2018	2018-01-17	MN538710	Canada	N
A/Alberta/021/2018	2018-01-18	MN538657	Canada	N
A/Alberta/025/2018	2018-01-04	MN538435	Canada	N
A/Alberta/028/2018	2018-01-18	MN538748	Canada	N
A/Alberta/029/2018	2018-01-20	MN538659	Canada	N
A/Alberta/030/2018	2018-01-22	MN538372	Canada	N
A/Alberta/031/2018	2018-01-25	MN538749	Canada	N
A/Alberta/032/2018	2018-01-29	MN538436	Canada	N
A/Alberta/033/2018	2018-01-05	MN538697	Canada	N
A/Alberta/034/2018	2018-01-05	MN538721	Canada	N
A/Alberta/035/2018	2018-01-11	MN538722	Canada	N
A/Alberta/040/2018	2018-01-22	MN538665	Canada	N
A/Alberta/048/2018	2018-02-26	MN538515	Canada	N
A/Alberta/053/2017	2017-12-19	MN538443	Canada	N
A/Alberta/054/2018	2018-02-04	MN538474	Canada	N
A/Alberta/055/2018	2018-02-05	MN538709	Canada	N
A/Alberta/056/2018	2018-02-06	MN538484	Canada	N
A/Alberta/058/2018	2018-02-12	MN538670	Canada	N
A/Alberta/059/2018	2018-02-20	MN538671	Canada	N
A/Alberta/060/2018	2018-03-14	MN538472	Canada	N
A/Alberta/061/2018	2018-04-06	MN538470	Canada	N
A/Alberta/150/2016	2016-11-08	KY583518	Canada	N
A/Alberta/151/2016	2016-11-08	KY583549	Canada	N
A/Alberta/153/2016	2016-11-10	KY583512	Canada	N
A/Alberta/154/2016	2016-11-16	KY583508	Canada	N
A/Alberta/155/2016	2016-11-17	KY583530	Canada	N
A/Alberta/156/2016	2016-11-21	KY583535	Canada	N
A/Alberta/157/2016	2016-11-21	KY583529	Canada	N
A/Alberta/158/2016	2016-11-22	KY583582	Canada	N
A/Alberta/165/2016	2016-11-29	KY583555	Canada	N
A/Alberta/166/2016	2016-11-29	KY583562	Canada	N
A/Alberta/169/2016	2016-11-30	KY583515	Canada	N
A/Alberta/172/2016	2016-12-01	KY583561	Canada	N
A/Alberta/177/2016	2016-12-03	KY583536	Canada	N
A/Alberta/178/2016	2016-12-05	KY583537	Canada	N
A/Alberta/181/2016	2016-12-05	KY583564	Canada	N
A/Alberta/203/2016	2016-12-09	KY583559	Canada	N
A/Alberta/206/2016	2016-12-12	KY583507	Canada	N
A/Alberta/209/2016	2016-12-12	KY583567	Canada	N
A/Alberta/217/2016	2016-12-19	KY583516	Canada	N
A/Alberta/218/2016	2016-12-19	KY583538	Canada	N
A/Alberta/224/2016	2016-12-22	KY583532	Canada	N
A/Alberta/225/2016	2016-12-25	KY583533	Canada	N
A/Alberta/227/2016	2016-12-27	KY583560	Canada	N
A/Alberta/230/2016	2016-12-30	KY583557	Canada	N
A/Alberta/419/2017	2017-12-29	MN538439	Canada	N
A/Alberta/52/2016	2016-02-10	MF195705	Canada	N
A/Arizona/01/2015	2015-01-30	KT835922	USA	N
A/Arizona/01/2018	2018-01-05	MH126433	USA	N
A/Arizona/02/2018	2018-01-10	MH126441	USA	N
A/Arizona/02/2019	2019-01-01	MK744744	USA	N
A/Arizona/04/2017	2017-01-30	CY220423	USA	N
A/Arizona/05/2017	2017-01-31	CY220431	USA	N
A/Arizona/05/2019	2019-01-06	MK676843	USA	N
A/Arizona/06/2017	2017-01-31	CY224886	USA	N
A/Arizona/06/2018	2018-01-18	MH233366	USA	N
A/Arizona/06/2019	2019-01-07	MK676851	USA	N
A/Arizona/07/2015	2015-04-14	KT843427	USA	N
A/Arizona/08/2017	2017-02-05	CY220751	USA	N
A/Arizona/09/2017	2017-02-17	CY223197	USA	N
A/Arizona/10/2015	2015-08-01	KT844061	USA	N
A/Arizona/11/2016	2016-01-13	KX414185	USA	N
A/Arizona/11/2017	2017-02-19	CY223205	USA	N
A/Arizona/13/2017	2017-02-22	CY230530	USA	N
A/Arizona/13/2018	2018-01-23	MH306773	USA	N
A/Arizona/14/2017	2017-02-25	CY230538	USA	N
A/Arizona/14/2019	2019-02-03	MK856545	USA	N
A/Arizona/15/2015	2015-09-20	KX411927	USA	N
A/Arizona/15/2018	2018-02-11	MH306784	USA	N
A/Arizona/15/2019	2019-02-05	MK856553	USA	N
A/Arizona/16/2018	2018-02-11	MH306791	USA	N
A/Arizona/16/2019	2019-02-23	MK856558	USA	N
A/Arizona/17/2015	2015-09-28	KX411943	USA	N
A/Arizona/17/2018	2018-03-02	MH358502	USA	N
A/Arizona/18/2017	2017-03-13	CY234192	USA	N
A/Arizona/18/2019	2019-02-27	MK856567	USA	N
A/Arizona/19/2017	2017-03-21	CY230642	USA	N
A/Arizona/20/2017	2017-03-27	CY230650	USA	N
A/Arizona/20/2018	2018-03-09	MH358510	USA	N
A/Arizona/21/2015	2015-10-02	KX411966	USA	N
A/Arizona/22/2015	2015-10-07	KX411973	USA	N
A/Arizona/23/2015	2015-10-26	KX003382	USA	N
A/Arizona/23/2016	2016-01-20	KX414497	USA	N
A/Arizona/23/2018	2018-03-15	MH358526	USA	N
A/Arizona/23/2019	2019-03-24	MN221653	USA	N
A/Arizona/24/2015	2015-11-02	KX003390	USA	N
A/Arizona/24/2016	2016-01-20	KX414513	USA	N
A/Arizona/24/2017	2017-04-09	CY235592	USA	N
A/Arizona/25/2017	2017-04-16	CY234506	USA	N
A/Arizona/26/2016	2016-01-20	KX414529	USA	N
A/Arizona/26/2019	2019-05-05	MN221658	USA	N
A/Arizona/27/2016	2016-01-18	KX414537	USA	N
A/Arizona/27/2017	2017-04-25	CY235712	USA	N
A/Arizona/28/2018	2018-03-24	MH845798	USA	N
A/Arizona/28/2019	2019-05-23	MN318990	USA	N
A/Arizona/29/2015	2015-11-27	KX413473	USA	N
A/Arizona/29/2019	2019-06-09	MN318998	USA	N
A/Arizona/30/2018	2018-04-15	MK077308	USA	N
A/Arizona/31/2018	2018-04-15	MH669579	USA	N
A/Arizona/31/2019	2019-06-26	MN507291	USA	N
A/Arizona/32/2016	2016-01-08	KX413094	USA	N
A/Arizona/32/2017	2017-05-01	CY238883	USA	N
A/Arizona/32/2018	2018-04-26	MH669587	USA	N
A/Arizona/34/2019	2019-08-22	MN638469	USA	N
A/Arizona/35/2017	2017-05-21	CY238891	USA	N
A/Arizona/37/2017	2017-05-21	CY238899	USA	N
A/Arizona/37/2018	2018-05-25	MH729429	USA	N
A/Arizona/38/2017	2017-06-13	CY238915	USA	N
A/Arizona/39/2017	2017-06-16	CY238923	USA	N
A/Arizona/39/2019	2019-09-15	MT030902	USA	N
A/Arizona/41/2016	2016-02-13	KX415472	USA	N
A/Arizona/42/2015	2015-12-09	KX413761	USA	N
A/Arizona/42/2017	2017-06-18	CY239920	USA	N
A/Arizona/43/2015	2015-12-11	KX413769	USA	N
A/Arizona/43/2017	2017-06-22	CY239928	USA	N
A/Arizona/43/2019	2019-09-24	MN975538	USA	N
A/Arizona/44/2015	2015-12-21	KX414137	USA	N
A/Arizona/44/2016	2016-02-16	KX415464	USA	N
A/Arizona/44/2018	2018-10-14	MK363451	USA	N
A/Arizona/44/2019	2019-10-01	MT030918	USA	N
A/Arizona/45/2017	2017-07-11	CY242062	USA	N
A/Arizona/45/2018	2018-10-19	MK363403	USA	N
A/Arizona/4611/2015	2015-01-30	CY193864	USA	N
A/Arizona/47/2017	2017-07-30	CY242390	USA	N
A/Arizona/47/2018	2018-11-05	MK623990	USA	N
A/Arizona/47/2019	2019-10-28	MN881783	USA	N
A/Arizona/4734/2015	2015-02-03	CY193987	USA	N
A/Arizona/4735/2015	2015-02-03	CY193988	USA	N
A/Arizona/48/2017	2017-07-31	CY244553	USA	N
A/Arizona/48/2018	2018-11-05	MK398509	USA	N
A/Arizona/4805/2015	2015-03-16	CY194058	USA	N
A/Arizona/4877/2015	2015-04-27	CY208103	USA	N
A/Arizona/49/2017	2017-08-16	CY245198	USA	N
A/Arizona/4965/2016	2016-01-25	CY208198	USA	N
A/Arizona/4998/2016	2016-02-12	CY208231	USA	N
A/Arizona/50/2016	2016-03-05	KX416552	USA	N
A/Arizona/5000/2016	2016-02-17	CY208233	USA	N
A/Arizona/5003/2016	2016-02-19	CY208236	USA	N
A/Arizona/5005/2016	2016-02-22	CY208238	USA	N
A/Arizona/5053/2016	2016-02-12	CY208286	USA	N
A/Arizona/5055/2016	2016-02-19	CY208288	USA	N
A/Arizona/51/2017	2017-09-11	CY249947	USA	N
A/Arizona/5104/2016	2016-02-25	CY208337	USA	N
A/Arizona/5106/2016	2016-02-29	CY208339	USA	N
A/Arizona/5109/2016	2016-03-01	CY208342	USA	N
A/Arizona/5110/2016	2016-03-02	CY208343	USA	N
A/Arizona/5112/2016	2016-03-04	CY208345	USA	N
A/Arizona/5113/2016	2016-03-07	CY208346	USA	N
A/Arizona/5187/2016	2016-02-29	CY208420	USA	N
A/Arizona/52/2015	2015-12-22	KX414145	USA	N
A/Arizona/5279/2016	2016-03-03	CY209764	USA	N
A/Arizona/5280/2016	2016-03-09	CY209765	USA	N
A/Arizona/53/2015	2015-12-29	KX414153	USA	N
A/Arizona/53/2017	2017-10-02	CY256037	USA	N
A/Arizona/5360/2016	2016-03-15	CY209845	USA	N
A/Arizona/5361/2016	2016-03-21	CY209846	USA	N
A/Arizona/5362/2016	2016-03-22	CY209847	USA	N
A/Arizona/55/2018	2018-11-23	MK623068	USA	N
A/Arizona/55/2019	2019-12-27	MT168665	USA	N
A/Arizona/56/2016	2016-03-13	KX917548	USA	N
A/Arizona/57/2016	2016-03-13	KX917556	USA	N
A/Arizona/58/2015	2015-12-21	KX414169	USA	N
A/Arizona/5880/2017	2017-01-06	CY243992	USA	N
A/Arizona/59/2015	2015-12-28	KX414177	USA	N
A/Arizona/59/2016	2016-04-18	KX917876	USA	N
A/Arizona/59/2017	2017-10-19	CY260710	USA	N
A/Arizona/5970/2017	2017-02-02	CY244082	USA	N
A/Arizona/60/2016	2016-04-20	KX917868	USA	N
A/Arizona/62/2017	2017-10-30	CY260718	USA	N
A/Arizona/6361/2017	2017-10-31	MH294708	USA	N
A/Arizona/6439/2017	2017-12-12	MH294805	USA	N
A/Arizona/6440/2017	2017-12-12	MH294806	USA	N
A/Arizona/6441/2017	2017-12-13	MH294807	USA	N
A/Arizona/65/2016	2016-05-09	KX916716	USA	N
A/Arizona/66/2017	2017-11-07	CY264092	USA	N
A/Arizona/6666/2018	2018-01-02	MH779014	USA	N
A/Arizona/6667/2018	2018-01-04	MH779015	USA	N
A/Arizona/67/2016	2016-05-04	KX916828	USA	N
A/Arizona/6758/2018	2018-01-09	MH885172	USA	N
A/Arizona/6760/2018	2018-01-11	MH885174	USA	N
A/Arizona/70/2016	2016-09-27	KY116486	USA	N
A/Arizona/70/2017	2017-11-24	CY264481	USA	N
A/Arizona/71/2016	2016-09-30	KY116494	USA	N
A/Arizona/72/2017	2017-12-11	CY265125	USA	N
A/Arizona/7200/2018	2018-02-08	MK401366	USA	N
A/Arizona/7326/2018	2018-02-05	MK502328	USA	N
A/Arizona/76/2017	2017-12-22	MH081940	USA	N
A/Arizona/77/2017	2017-12-22	MH081947	USA	N
A/Arizona/78/2016	2016-11-24	CY211898	USA	N
A/Arizona/80/2016	2016-12-12	CY212858	USA	N
A/Arizona/8720/2019	2019-03-11	MK912422	USA	N
A/Arizona/8871/2019	2019-02-11	MK927650	USA	N
A/Arizona/9614/2019	2019-04-11	MN078443	USA	N
A/Arizona/MAP6095A/2017	2017-12-19	MH701004	USA	N
A/Arizona/NHRC_MAP6073A/2017	2017-11-14	MG914099	USA	N
A/Arizona/NHRC_MAP6093A/2017	2017-12-19	MG914115	USA	N
A/Arkansas/01/2015	2015-01-08	KT841829	USA	N
A/Arkansas/01/2017	2017-01-09	CY216537	USA	N
A/Arkansas/01/2019	2019-01-01	MK624019	USA	N
A/Arkansas/02/2016	2016-01-28	KX414281	USA	N
A/Arkansas/02/2017	2017-01-10	CY216529	USA	N
A/Arkansas/02/2018	2018-01-22	MH126457	USA	N
A/Arkansas/02/2019	2019-01-15	MK744768	USA	N
A/Arkansas/03/2015	2015-01-11	KY089536	USA	N
A/Arkansas/04/2015	2015-01-21	KT835859	USA	N
A/Arkansas/04/2017	2017-01-17	CY216521	USA	N
A/Arkansas/04/2019	2019-01-22	MK676867	USA	N
A/Arkansas/05/2015	2015-01-20	KT836145	USA	N
A/Arkansas/05/2017	2017-01-18	CY216505	USA	N
A/Arkansas/05/2019	2019-01-22	MK676875	USA	N
A/Arkansas/06/2015	2015-02-17	KT842409	USA	N
A/Arkansas/08/2015	2015-10-12	KU590983	USA	N
A/Arkansas/11/2017	2017-01-30	CY222853	USA	N
A/Arkansas/12/2017	2017-01-31	CY222861	USA	N
A/Arkansas/13/2017	2017-02-01	CY222869	USA	N
A/Arkansas/13/2019	2019-02-05	MK772167	USA	N
A/Arkansas/14/2017	2017-02-22	CY227694	USA	N
A/Arkansas/14/2019	2019-02-18	MK856577	USA	N
A/Arkansas/15/2016	2016-12-27	CY216545	USA	N
A/Arkansas/15/2017	2017-02-22	CY227702	USA	N
A/Arkansas/16/2017	2017-02-27	CY227710	USA	N
A/Arkansas/17/2017	2017-03-19	CY228725	USA	N
A/Arkansas/18/2017	2017-03-19	CY244902	USA	N
