strain	date	accession	country	region	segment_name
A/Alaska/35/2017	2017-07-07	CY244974	USA	N	4
A/Alaska/36/2017	2017-07-09	CY243607	USA	N	4
A/Alaska/37/2016	2016-12-30	CY214746	USA	N	4
A/Alaska/37/2017	2017-07-11	CY243591	USA	N	4
A/Alaska/42/2017	2017-07-24	CY243631	USA	N	4
A/Alaska/43/2017	2017-07-29	CY243647	USA	N	4
A/Alaska/45/2017	2017-07-30	CY243655	USA	N	4
A/Alaska/47/2017	2017-08-03	CY244990	USA	N	4
A/Alaska/54/2017	2017-08-28	CY245150	USA	N	4
A/Alaska/55/2017	2017-08-30	CY245126	USA	N	4
A/Alaska/56/2017	2017-08-31	CY245142	USA	N	4
A/Alaska/57/2017	2017-09-01	CY245134	USA	N	4
A/Alaska/60/2017	2017-08-22	CY247086	USA	N	4
A/Alaska/62/2017	2017-09-07	CY247102	USA	N	4
A/Alaska/6385/2017	2017-11-02	MH294732	USA	N	4
A/Alaska/6516/2017	2017-12-29	MH294882	USA	N	4
A/Alaska/69/2017	2017-11-09	CY260857	USA	N	4
A/Alaska/71/2017	2017-11-24	CY261631	USA	N	4
A/Alaska/75/2017	2017-11-27	CY265085	USA	N	4
A/Alberta/006/2018	2018-01-09	MN538674	Canada	N	4
A/Alberta/016/2018	2018-01-15	MN538696	Canada	N	4
A/Alberta/020/2018	2018-01-17	MN538710	Canada	N	4
A/Alberta/021/2018	2018-01-18	MN538657	Canada	N	4
A/Alberta/025/2018	2018-01-04	MN538435	Canada	N	4
A/Alberta/029/2018	2018-01-20	MN538659	Canada	N	4
A/Alberta/030/2018	2018-01-22	MN538372	Canada	N	4
A/Alberta/033/2018	2018-01-05	MN538697	Canada	N	4
A/Alberta/034/2018	2018-01-05	MN538721	Canada	N	4
A/Alberta/035/2018	2018-01-11	MN538722	Canada	N	4
A/Alberta/419/2017	2017-12-29	MN538439	Canada	N	4
A/Arizona/04/2017	2017-01-30	CY220423	USA	N	4
A/Arizona/05/2017	2017-01-31	CY220431	USA	N	4
A/Arizona/06/2017	2017-01-31	CY224886	USA	N	4
A/Arizona/08/2017	2017-02-05	CY220751	USA	N	4
A/Arizona/09/2017	2017-02-17	CY223197	USA	N	4
A/Arizona/11/2016	2016-01-13	KX414185	USA	N	4
A/Arizona/11/2017	2017-02-19	CY223205	USA	N	4
A/Arizona/13/2017	2017-02-22	CY230530	USA	N	4
A/Arizona/14/2017	2017-02-25	CY230538	USA	N	4
A/Arizona/18/2017	2017-03-13	CY234192	USA	N	4
A/Arizona/19/2017	2017-03-21	CY230642	USA	N	4
A/Arizona/20/2017	2017-03-27	CY230650	USA	N	4
A/Arizona/23/2016	2016-01-20	KX414497	USA	N	4
A/Arizona/24/2016	2016-01-20	KX414513	USA	N	4
A/Arizona/24/2017	2017-04-09	CY235592	USA	N	4
A/Arizona/25/2016	2016-01-20	KX414521	USA	N	4
A/Arizona/25/2017	2017-04-16	CY234506	USA	N	4
A/Arizona/26/2016	2016-01-20	KX414529	USA	N	4
A/Arizona/27/2016	2016-01-18	KX414537	USA	N	4
A/Arizona/27/2017	2017-04-25	CY235712	USA	N	4
A/Arizona/32/2016	2016-01-08	KX413094	USA	N	4
A/Arizona/32/2017	2017-05-01	CY238883	USA	N	4
A/Arizona/35/2017	2017-05-21	CY238891	USA	N	4
A/Arizona/37/2017	2017-05-21	CY238899	USA	N	4
A/Arizona/38/2017	2017-06-13	CY238915	USA	N	4
A/Arizona/39/2017	2017-06-16	CY238923	USA	N	4
A/Arizona/41/2016	2016-02-13	KX415472	USA	N	4
A/Arizona/42/2017	2017-06-18	CY239920	USA	N	4
A/Arizona/43/2017	2017-06-22	CY239928	USA	N	4
A/Arizona/44/2016	2016-02-16	KX415464	USA	N	4
A/Arizona/45/2017	2017-07-11	CY242062	USA	N	4
A/Arizona/47/2017	2017-07-30	CY242390	USA	N	4
A/Arizona/48/2017	2017-07-31	CY244553	USA	N	4
A/Arizona/49/2017	2017-08-16	CY245198	USA	N	4
A/Arizona/4965/2016	2016-01-25	CY208198	USA	N	4
A/Arizona/50/2016	2016-03-05	KX416552	USA	N	4
A/Arizona/5003/2016	2016-02-19	CY208236	USA	N	4
A/Arizona/5053/2016	2016-02-12	CY208286	USA	N	4
A/Arizona/51/2017	2017-09-11	CY249947	USA	N	4
A/Arizona/5112/2016	2016-03-04	CY208345	USA	N	4
A/Arizona/5187/2016	2016-02-29	CY208420	USA	N	4
A/Arizona/53/2017	2017-10-02	CY256037	USA	N	4
A/Arizona/56/2016	2016-03-13	KX917548	USA	N	4
A/Arizona/57/2016	2016-03-13	KX917556	USA	N	4
A/Arizona/59/2016	2016-04-18	KX917876	USA	N	4
A/Arizona/59/2017	2017-10-19	CY260710	USA	N	4
A/Arizona/60/2016	2016-04-20	KX917868	USA	N	4
A/Arizona/62/2017	2017-10-30	CY260718	USA	N	4
A/Arizona/6441/2017	2017-12-13	MH294807	USA	N	4
A/Arizona/65/2016	2016-05-09	KX916716	USA	N	4
A/Arizona/66/2017	2017-11-07	CY264092	USA	N	4
A/Arizona/67/2016	2016-05-04	KX916828	USA	N	4
A/Arizona/6760/2018	2018-01-11	MH885174	USA	N	4
A/Arizona/70/2016	2016-09-27	KY116486	USA	N	4
A/Arizona/70/2017	2017-11-24	CY264481	USA	N	4
A/Arizona/71/2016	2016-09-30	KY116494	USA	N	4
A/Arizona/72/2017	2017-12-11	CY265125	USA	N	4
A/Arizona/78/2016	2016-11-24	CY211898	USA	N	4
A/Arizona/80/2016	2016-12-12	CY212858	USA	N	4
A/Arkansas/01/2017	2017-01-09	CY216537	USA	N	4
A/Arkansas/02/2016	2016-01-28	KX414281	USA	N	4
A/Arkansas/02/2017	2017-01-10	CY216529	USA	N	4
A/Arkansas/04/2017	2017-01-17	CY216521	USA	N	4
A/Arkansas/05/2017	2017-01-18	CY216505	USA	N	4
A/Arkansas/11/2017	2017-01-30	CY222853	USA	N	4
A/Arkansas/12/2017	2017-01-31	CY222861	USA	N	4
A/Arkansas/13/2017	2017-02-01	CY222869	USA	N	4
A/Arkansas/14/2017	2017-02-22	CY227694	USA	N	4
A/Arkansas/15/2016	2016-12-27	CY216545	USA	N	4
A/Arkansas/15/2017	2017-02-22	CY227702	USA	N	4
A/Arkansas/16/2017	2017-02-27	CY227710	USA	N	4
A/Arkansas/17/2017	2017-03-19	CY228725	USA	N	4
A/Arkansas/18/2017	2017-03-19	CY244902	USA	N	4
A/Arkansas/19/2017	2017-03-27	CY228741	USA	N	4
A/Arkansas/20/2017	2017-04-02	CY232594	USA	N	4
A/Arkansas/21/2017	2017-08-31	CY245158	USA	N	4
A/Arkansas/23/2017	2017-10-09	CY250515	USA	N	4
A/Arkansas/24/2017	2017-10-12	CY250523	USA	N	4
A/Arkansas/25/2017	2017-10-12	CY250531	USA	N	4
A/Arkansas/29/2017	2017-10-23	CY250699	USA	N	4
A/Arkansas/34/2017	2017-11-06	CY260130	USA	N	4
A/Arkansas/38/2017	2017-11-15	CY261113	USA	N	4
A/Arkansas/43/2017	2017-12-03	CY264131	USA	N	4
A/Arkansas/6620/2018	2018-01-08	MH778968	USA	N	4
A/Bahrain/RVT0142/2018	2018-02-05	MH701028	Bahrain	N	4
A/Bahrain/RVT0145/2018	2018-02-10	MH701036	Bahrain	N	4
A/Bahrain/RVT0147/2018	2018-02-16	MH701044	Bahrain	N	4
A/Baltimore/0148/2016	2016-04-09	KY615391	USA	N	4
A/Baltimore/0221/2017	2017-01-03	KY949688	USA	N	4
A/Baltimore/0223/2017	2017-01-05	KY950007	USA	N	4
A/Baltimore/0227/2017	2017-01-07	KY949992	USA	N	4
A/Baltimore/0230/2017	2017-01-09	KY950141	USA	N	4
A/Baltimore/0233/2017	2017-01-10	KY950201	USA	N	4
A/Baltimore/0238/2017	2017-01-20	KY949986	USA	N	4
A/Baltimore/0239/2017	2017-01-20	KY949711	USA	N	4
A/Baltimore/0244/2017	2017-01-24	KY949788	USA	N	4
A/Baltimore/0247/2017	2017-01-25	KY949989	USA	N	4
A/Baltimore/0252/2017	2017-01-27	KY949928	USA	N	4
A/Baltimore/0253/2017	2017-01-29	KY949651	USA	N	4
A/Baltimore/0256/2017	2017-01-30	KY950063	USA	N	4
A/Baltimore/0257/2017	2017-01-30	KY950053	USA	N	4
A/Baltimore/0261/2017	2017-01-31	KY949661	USA	N	4
A/Baltimore/0262/2017	2017-01-31	KY949955	USA	N	4
A/Baltimore/0281/2017	2017-02-06	KY950099	USA	N	4
A/Baltimore/0289/2017	2017-02-08	KY950120	USA	N	4
A/Baltimore/0293/2017	2017-02-09	KY949900	USA	N	4
A/Baltimore/0295/2017	2017-02-09	KY949978	USA	N	4
A/Baltimore/0301/2017	2017-02-12	KY949820	USA	N	4
A/Baltimore/0303/2017	2017-02-13	KY949985	USA	N	4
A/Baltimore/0304/2017	2017-02-13	KY949831	USA	N	4
A/Baltimore/0306/2017	2017-02-14	KY950048	USA	N	4
A/Baltimore/0307/2017	2017-02-14	KY950005	USA	N	4
A/Baltimore/0311/2017	2017-02-14	KY949821	USA	N	4
A/Baltimore/P0111/2017	2017-03-28	MH637485	USA	N	4
A/Baltimore/P0145/2017	2017-04-06	MH637731	USA	N	4
A/Baltimore/P0213/2017	2017-12-14	MH637655	USA	N	4
A/Baltimore/P0215/2017	2017-12-15	MH637795	USA	N	4
A/Baltimore/P0222/2017	2017-12-20	MH637594	USA	N	4
A/Baltimore/P0224/2017	2017-12-21	MH637653	USA	N	4
A/Baltimore/P0225/2017	2017-12-21	MH637724	USA	N	4
A/Baltimore/P0227/2017	2017-12-21	MH637444	USA	N	4
A/Baltimore/P0228/2017	2017-12-22	MH637470	USA	N	4
A/Baltimore/P0230/2017	2017-12-27	MH637598	USA	N	4
A/Baltimore/P0232/2018	2018-01-02	MH637468	USA	N	4
A/Baltimore/P0234/2018	2018-01-03	MH637503	USA	N	4
A/Baltimore/P0238/2018	2018-01-08	MH637494	USA	N	4
A/Baltimore/P0239/2018	2018-01-08	MH637474	USA	N	4
A/Baltimore/P0241/2018	2018-01-10	MH637551	USA	N	4
A/Baltimore/P0244/2018	2018-01-11	MH637711	USA	N	4
A/Baltimore/P0247/2018	2018-01-14	MH637757	USA	N	4
A/Baltimore/P0279/2018	2018-02-02	MH637677	USA	N	4
A/Baltimore/P0280/2018	2018-02-02	MH637792	USA	N	4
A/Baltimore/P0283/2018	2018-02-04	MH637681	USA	N	4
A/Baltimore/P0286/2018	2018-02-05	MH637645	USA	N	4
A/Baltimore/P0287/2018	2018-02-06	MH637438	USA	N	4
A/Baltimore/P0298/2018	2018-02-10	MH637471	USA	N	4
A/Baltimore/P0309/2018	2018-02-15	MH637793	USA	N	4
A/Basel/USB001428.4/2016	2016-12-23	MN299965	Switzerland	N	4
A/Basel/USB001429.4/2016	2016-12-23	MN299967	Switzerland	N	4
A/Basel/USB001430.4/2016	2016-12-23	MN299968	Switzerland	N	4
A/Basel/USB001433.4/2016	2016-12-25	MN299980	Switzerland	N	4
A/Basel/USB001434.4/2016	2016-12-23	MN299973	Switzerland	N	4
A/Basel/USB001454.4/2016	2016-12-12	MN299941	Switzerland	N	4
A/Basel/USB001455.4/2016	2016-12-14	MN299942	Switzerland	N	4
A/Basel/USB001456.4/2016	2016-12-15	MN299945	Switzerland	N	4
A/Basel/USB001457.4/2016	2016-12-17	MN299946	Switzerland	N	4
A/Basel/USB001458.4/2016	2016-12-18	MN299947	Switzerland	N	4
A/Basel/USB001459.4/2016	2016-12-18	MN299949	Switzerland	N	4
A/Basel/USB001461.4/2016	2016-12-19	MN299952	Switzerland	N	4
A/Basel/USB001462.4/2016	2016-12-20	MN299954	Switzerland	N	4
A/Basel/USB001464.4/2016	2016-12-21	MN299958	Switzerland	N	4
A/Basel/USB001467.4/2016	2016-12-22	MN299963	Switzerland	N	4
A/Basel/USB001469.4/2016	2016-12-23	MN299972	Switzerland	N	4
A/Basel/USB001471.4/2016	2016-12-25	MN299983	Switzerland	N	4
A/Basel/USB001472.4/2016	2016-12-24	MN299975	Switzerland	N	4
A/Basel/USB001473.4/2016	2016-12-24	MN299976	Switzerland	N	4
A/Basel/USB001530.4/2016	2016-12-26	MN299990	Switzerland	N	4
A/Basel/USB001535.4/2016	2016-12-27	MN300007	Switzerland	N	4
A/Basel/USB001537.4/2016	2016-12-27	MN300004	Switzerland	N	4
A/Basel/USB001538.4/2016	2016-12-27	MN300001	Switzerland	N	4
A/Basel/USB001542.4/2016	2016-12-27	MN300008	Switzerland	N	4
A/Basel/USB001543.4/2016	2016-12-28	MN300013	Switzerland	N	4
A/Basel/USB001544.4/2016	2016-12-28	MN300017	Switzerland	N	4
A/Basel/USB001545.4/2016	2016-12-28	MN300020	Switzerland	N	4
A/Basel/USB001550.4/2016	2016-12-29	MN300022	Switzerland	N	4
A/Basel/USB001552.4/2016	2016-12-31	MN300041	Switzerland	N	4
A/Basel/USB001554.4/2016	2016-12-31	MN300039	Switzerland	N	4
A/Basel/USB001555.4/2016	2016-12-31	MN300038	Switzerland	N	4
A/Basel/USB001558.4/2016	2016-12-31	MN300046	Switzerland	N	4
A/Basel/USB001560.4/2016	2016-12-31	MN300045	Switzerland	N	4
A/Basel/USB001562.4/2016	2016-12-31	MN300048	Switzerland	N	4
A/Basel/USB001563.4/2017	2017-01-01	MN299483	Switzerland	N	4
A/Basel/USB001566.4/2017	2017-01-01	MN299487	Switzerland	N	4
A/Basel/USB001567.4/2017	2017-01-01	MN299488	Switzerland	N	4
A/Basel/USB001569.4/2017	2017-01-02	MN299493	Switzerland	N	4
A/Basel/USB001578.4/2017	2017-01-02	MN299499	Switzerland	N	4
A/Basel/USB001580.4/2017	2017-01-03	MN299505	Switzerland	N	4
A/Basel/USB001581.4/2017	2017-01-03	MN299506	Switzerland	N	4
A/Basel/USB001582.4/2017	2017-01-03	MN299510	Switzerland	N	4
A/Basel/USB001583.4/2017	2017-01-03	MN299511	Switzerland	N	4
A/Basel/USB001585.4/2017	2017-01-04	MN299540	Switzerland	N	4
A/Basel/USB001588.4/2017	2017-01-04	MN299518	Switzerland	N	4
A/Basel/USB001589.4/2017	2017-01-04	MN299519	Switzerland	N	4
A/Basel/USB001590.4/2017	2017-01-04	MN299523	Switzerland	N	4
A/Basel/USB001639.4/2017	2017-01-04	MN299531	Switzerland	N	4
A/Basel/USB001640.4/2017	2017-01-04	MN299541	Switzerland	N	4
A/Basel/USB001645.4/2017	2017-01-05	MN299548	Switzerland	N	4
A/Basel/USB001646.4/2017	2017-01-05	MN299551	Switzerland	N	4
A/Basel/USB001808.4/2017	2017-01-09	MN299623	Switzerland	N	4
A/Basel/USB001812.4/2017	2017-01-10	MN299628	Switzerland	N	4
A/Basel/USB001833.4/2016	2016-12-18	MN299948	Switzerland	N	4
A/Basel/USB001835.4/2016	2016-12-20	MN299953	Switzerland	N	4
A/Basel/USB001836.4/2016	2016-12-20	MN299955	Switzerland	N	4
A/Basel/USB001839.4/2016	2016-12-24	MN299978	Switzerland	N	4
A/Basel/USB002044.4/2016	2016-12-04	MN299939	Switzerland	N	4
A/Basel/USB002047.4/2016	2016-12-10	MN299940	Switzerland	N	4
A/Basel/USB002050.4/2016	2016-12-15	MN299943	Switzerland	N	4
A/Basel/USB002057.4/2016	2016-12-18	MN299950	Switzerland	N	4
A/Basel/USB002059.4/2016	2016-12-19	MN299951	Switzerland	N	4
A/Basel/USB002066.4/2016	2016-12-20	MN299956	Switzerland	N	4
A/Basel/USB002069.4/2016	2016-12-21	MN299959	Switzerland	N	4
A/Basel/USB002071.4/2016	2016-12-21	MN299961	Switzerland	N	4
A/Basel/USB002093.4/2016	2016-12-24	MN299977	Switzerland	N	4
A/Basel/USB002098.4/2016	2016-12-25	MN299987	Switzerland	N	4
A/Basel/USB002099.4/2016	2016-12-26	MN299991	Switzerland	N	4
A/Basel/USB002124.4/2016	2016-12-26	MN299996	Switzerland	N	4
A/Basel/USB002128.4/2016	2016-12-27	MN300005	Switzerland	N	4
A/Basel/USB002130.4/2016	2016-12-27	MN300003	Switzerland	N	4
A/Basel/USB002132.4/2016	2016-12-27	MN300002	Switzerland	N	4
A/Basel/USB002135.4/2016	2016-12-27	MN299999	Switzerland	N	4
A/Basel/USB002137.4/2016	2016-12-27	MN299998	Switzerland	N	4
A/Basel/USB002138.4/2016	2016-12-28	MN300016	Switzerland	N	4
A/Basel/USB002140.4/2016	2016-12-28	MN300010	Switzerland	N	4
A/Basel/USB002154.4/2016	2016-12-30	MN300033	Switzerland	N	4
A/Basel/USB002156.4/2016	2016-12-30	MN300032	Switzerland	N	4
A/Basel/USB002171.4/2016	2016-12-29	MN300025	Switzerland	N	4
A/Basel/USB002177.4/2016	2016-12-29	MN300028	Switzerland	N	4
A/Basel/USB002184.4/2016	2016-12-30	MN300034	Switzerland	N	4
A/Basel/USB002202.4/2016	2016-12-31	MN300049	Switzerland	N	4
A/Basel/USB002235.4/2017	2017-01-02	MN299494	Switzerland	N	4
A/Basel/USB002244.4/2017	2017-01-03	MN299501	Switzerland	N	4
A/Basel/USB002253.4/2017	2017-01-03	MN299509	Switzerland	N	4
A/Basel/USB002260.4/2017	2017-01-03	MN299507	Switzerland	N	4
A/Basel/USB002288.4/2017	2017-01-04	MN299529	Switzerland	N	4
A/Basel/USB002291.4/2017	2017-01-04	MN299527	Switzerland	N	4
A/Basel/USB002295.4/2017	2017-01-04	MN299532	Switzerland	N	4
A/Basel/USB002315.4/2017	2017-01-05	MN299552	Switzerland	N	4
A/Basel/USB002319.4/2017	2017-01-06	MN299559	Switzerland	N	4
A/Basel/USB002321.4/2017	2017-01-05	MN299555	Switzerland	N	4
A/Basel/USB002323.4/2017	2017-01-06	MN299562	Switzerland	N	4
A/Basel/USB002337.4/2017	2017-01-06	MN299563	Switzerland	N	4
A/Basel/USB002339.4/2017	2017-01-05	MN299556	Switzerland	N	4
A/Basel/USB002341.4/2017	2017-01-06	MN299565	Switzerland	N	4
A/Basel/USB002342.4/2017	2017-01-06	MN299566	Switzerland	N	4
A/Basel/USB002344.4/2017	2017-01-06	MN299570	Switzerland	N	4
A/Basel/USB002348.4/2017	2017-01-06	MN299568	Switzerland	N	4
A/Basel/USB002431.4/2017	2017-01-07	MN299574	Switzerland	N	4
A/Basel/USB002434.4/2017	2017-01-07	MN299575	Switzerland	N	4
A/Basel/USB002437.4/2017	2017-01-07	MN299578	Switzerland	N	4
A/Basel/USB002440.4/2017	2017-01-07	MN299580	Switzerland	N	4
A/Basel/USB002442.4/2017	2017-01-08	MN299584	Switzerland	N	4
A/Basel/USB002445.4/2017	2017-01-07	MN299587	Switzerland	N	4
A/Basel/USB002448.4/2017	2017-01-07	MN299590	Switzerland	N	4
A/Basel/USB002451.4/2017	2017-01-08	MN299602	Switzerland	N	4
A/Basel/USB002452.4/2017	2017-01-08	MN299583	Switzerland	N	4
A/Basel/USB002453.4/2017	2017-01-08	MN299601	Switzerland	N	4
A/Basel/USB002463.4/2017	2017-01-09	MN299605	Switzerland	N	4
A/Basel/USB002466.4/2017	2017-01-09	MN299608	Switzerland	N	4
A/Basel/USB002555.4/2017	2017-01-09	MN299604	Switzerland	N	4
A/Basel/USB002562.4/2017	2017-01-08	MN299593	Switzerland	N	4
A/Basel/USB002566.4/2017	2017-01-08	MN299596	Switzerland	N	4
A/Basel/USB002571.4/2017	2017-01-09	MN299617	Switzerland	N	4
A/Basel/USB002572.4/2017	2017-01-09	MN299618	Switzerland	N	4
A/Basel/USB002574.4/2017	2017-01-09	MN299620	Switzerland	N	4
A/Basel/USB002576.4/2017	2017-01-09	MN299622	Switzerland	N	4
A/Basel/USB002588.4/2017	2017-01-10	MN299630	Switzerland	N	4
A/Basel/USB002590.4/2017	2017-01-11	MN299640	Switzerland	N	4
A/Basel/USB002591.4/2017	2017-01-10	MN299638	Switzerland	N	4
A/Basel/USB002592.4/2017	2017-01-10	MN299633	Switzerland	N	4
A/Basel/USB002595.4/2017	2017-01-10	MN299636	Switzerland	N	4
A/Basel/USB002598.4/2017	2017-01-10	MN299632	Switzerland	N	4
A/Basel/USB002599.4/2017	2017-01-11	MN299642	Switzerland	N	4
A/Basel/USB002600.4/2017	2017-01-11	MN299641	Switzerland	N	4
A/Basel/USB002603.4/2017	2017-01-11	MN299645	Switzerland	N	4
A/Basel/USB002604.4/2017	2017-01-11	MN299644	Switzerland	N	4
A/Basel/USB002607.4/2017	2017-01-11	MN299646	Switzerland	N	4
A/Basel/USB002615.4/2017	2017-01-11	MN299650	Switzerland	N	4
A/Basel/USB002616.4/2017	2017-01-12	MN299654	Switzerland	N	4
A/Basel/USB002618.4/2017	2017-01-12	MN299656	Switzerland	N	4
A/Basel/USB002623.4/2017	2017-01-12	MN299660	Switzerland	N	4
A/Basel/USB002625.4/2017	2017-01-12	MN299661	Switzerland	N	4
A/Basel/USB002627.4/2017	2017-01-12	MN299662	Switzerland	N	4
A/Basel/USB002647.4/2017	2017-01-13	MN299669	Switzerland	N	4
A/Basel/USB002650.4/2017	2017-01-13	MN299671	Switzerland	N	4
A/Basel/USB002652.4/2017	2017-01-13	MN299673	Switzerland	N	4
A/Basel/USB002654.4/2017	2017-01-13	MN299675	Switzerland	N	4
A/Basel/USB002673.4/2017	2017-01-14	MN299683	Switzerland	N	4
A/Basel/USB002677.4/2017	2017-01-14	MN299685	Switzerland	N	4
A/Basel/USB002684.4/2017	2017-01-15	MN299687	Switzerland	N	4
A/Basel/USB002697.4/2017	2017-01-15	MN299693	Switzerland	N	4
A/Basel/USB002698.4/2017	2017-01-16	MN299694	Switzerland	N	4
A/Basel/USB002699.4/2017	2017-01-16	MN299695	Switzerland	N	4
A/Basel/USB002710.4/2017	2017-01-17	MN299703	Switzerland	N	4
A/Basel/USB002717.4/2017	2017-01-17	MN299707	Switzerland	N	4
A/Basel/USB002718.4/2017	2017-01-17	MN299706	Switzerland	N	4
A/Basel/USB002722.4/2017	2017-01-17	MN299711	Switzerland	N	4
A/Basel/USB002726.4/2017	2017-01-17	MN299713	Switzerland	N	4
A/Basel/USB002729.4/2017	2017-01-17	MN299716	Switzerland	N	4
A/Basel/USB002732.4/2017	2017-01-17	MN299718	Switzerland	N	4
A/Basel/USB002748.4/2017	2017-01-18	MN299722	Switzerland	N	4
A/Basel/USB002756.4/2017	2017-01-19	MN299729	Switzerland	N	4
A/Basel/USB002757.4/2017	2017-01-19	MN299730	Switzerland	N	4
A/Basel/USB002758.4/2017	2017-01-19	MN299727	Switzerland	N	4
A/Basel/USB002759.4/2017	2017-01-19	MN299728	Switzerland	N	4
A/Basel/USB002760.4/2017	2017-01-19	MN299731	Switzerland	N	4
A/Basel/USB002762.4/2017	2017-01-19	MN299733	Switzerland	N	4
A/Basel/USB002764.4/2017	2017-01-20	MN299735	Switzerland	N	4
A/Basel/USB002767.4/2017	2017-01-20	MN299738	Switzerland	N	4
A/Basel/USB002770.4/2017	2017-01-20	MN299741	Switzerland	N	4
A/Basel/USB002776.4/2017	2017-01-22	MN299745	Switzerland	N	4
A/Basel/USB002777.4/2017	2017-01-23	MN299752	Switzerland	N	4
A/Basel/USB002778.4/2017	2017-01-23	MN299753	Switzerland	N	4
A/Basel/USB002779.4/2017	2017-01-22	MN299746	Switzerland	N	4
A/Basel/USB002817.4/2017	2017-01-22	MN299750	Switzerland	N	4
A/Basel/USB002819.4/2017	2017-01-23	MN299754	Switzerland	N	4
A/Basel/USB002826.4/2017	2017-01-23	MN299757	Switzerland	N	4
A/Basel/USB002828.4/2017	2017-01-23	MN299760	Switzerland	N	4
A/Basel/USB002835.4/2017	2017-01-24	MN299763	Switzerland	N	4
A/Basel/USB002841.4/2017	2017-01-25	MN299767	Switzerland	N	4
A/Basel/USB002842.4/2017	2017-01-25	MN299768	Switzerland	N	4
A/Basel/USB002843.4/2017	2017-01-25	MN299769	Switzerland	N	4
A/Basel/USB002845.4/2017	2017-01-26	MN299771	Switzerland	N	4
A/Basel/USB002852.4/2017	2017-01-26	MN299777	Switzerland	N	4
A/Basel/USB002864.4/2017	2017-01-27	MN299779	Switzerland	N	4
A/Basel/USB002867.4/2017	2017-01-27	MN299782	Switzerland	N	4
A/Basel/USB002868.4/2017	2017-01-27	MN299783	Switzerland	N	4
A/Basel/USB002870.4/2017	2017-01-28	MN299784	Switzerland	N	4
A/Basel/USB002872.4/2017	2017-01-28	MN299786	Switzerland	N	4
A/Basel/USB002874.4/2017	2017-01-28	MN299788	Switzerland	N	4
A/Basel/USB002877.4/2017	2017-01-31	MN299811	Switzerland	N	4
