strain	date	accession	country	region	segment_name
A/Arizona/67/2016	2016-05-04	CY264054	USA	N	6
A/Arizona/70/2016	2016-09-27	KY116488	USA	N	6
A/Arizona/70/2017	2017-11-24	CY264483	USA	N	6
A/Arizona/71/2016	2016-09-30	KY116496	USA	N	6
A/Arizona/72/2017	2017-12-11	CY265127	USA	N	6
A/Arizona/7200/2018	2018-02-08	MK401502	USA	N	6
A/Arizona/77/2016	2016-11-22	CY211908	USA	N	6
A/Arizona/78/2016	2016-11-24	CY211900	USA	N	6
A/Arizona/79/2016	2016-12-10	CY212852	USA	N	6
A/Arizona/80/2016	2016-12-12	CY212860	USA	N	6
A/Arizona/MAP6087A/2017	2017-12-13	MH700974	USA	N	6
A/Arkansas/01/2017	2017-01-09	CY216539	USA	N	6
A/Arkansas/02/2016	2016-01-28	KX414283	USA	N	6
A/Arkansas/02/2017	2017-01-10	CY216531	USA	N	6
A/Arkansas/03/2016	2016-02-01	KX414291	USA	N	6
A/Arkansas/03/2017	2017-01-17	CY216515	USA	N	6
A/Arkansas/04/2017	2017-01-17	CY216523	USA	N	6
A/Arkansas/05/2017	2017-01-18	CY216507	USA	N	6
A/Arkansas/11/2017	2017-01-30	CY222855	USA	N	6
A/Arkansas/14/2017	2017-02-22	CY227696	USA	N	6
A/Arkansas/15/2016	2016-12-27	CY216547	USA	N	6
A/Arkansas/16/2017	2017-02-27	CY227712	USA	N	6
A/Arkansas/17/2017	2017-03-19	CY228727	USA	N	6
A/Arkansas/19/2017	2017-03-27	CY228743	USA	N	6
A/Arkansas/20/2017	2017-04-02	CY232596	USA	N	6
A/Arkansas/21/2017	2017-08-31	CY245160	USA	N	6
A/Arkansas/23/2017	2017-10-09	CY250517	USA	N	6
A/Arkansas/24/2017	2017-10-12	CY250525	USA	N	6
A/Arkansas/26/2017	2017-10-12	CY257703	USA	N	6
A/Arkansas/27/2017	2017-10-20	CY250693	USA	N	6
A/Arkansas/31/2017	2017-10-31	CY260116	USA	N	6
A/Arkansas/33/2017	2017-11-06	CY260124	USA	N	6
A/Arkansas/37/2017	2017-11-13	CY261107	USA	N	6
A/Arkansas/39/2017	2017-11-16	CY261123	USA	N	6
A/Arkansas/43/2017	2017-12-03	CY264133	USA	N	6
A/Arkansas/44/2017	2017-12-10	CY264784	USA	N	6
A/Baltimore/0148/2016	2016-04-09	KY487747	USA	N	6
A/Baltimore/0221/2017	2017-01-03	KY950064	USA	N	6
A/Baltimore/0223/2017	2017-01-05	KY950122	USA	N	6
A/Baltimore/0227/2017	2017-01-07	KY950016	USA	N	6
A/Baltimore/0230/2017	2017-01-09	KY950102	USA	N	6
A/Baltimore/0233/2017	2017-01-10	KY949690	USA	N	6
A/Baltimore/0238/2017	2017-01-20	KY950130	USA	N	6
A/Baltimore/0239/2017	2017-01-20	KY950202	USA	N	6
A/Baltimore/0244/2017	2017-01-24	KY950012	USA	N	6
A/Baltimore/0247/2017	2017-01-25	KY950084	USA	N	6
A/Baltimore/0253/2017	2017-01-29	KY950225	USA	N	6
A/Baltimore/0256/2017	2017-01-30	KY949779	USA	N	6
A/Baltimore/0257/2017	2017-01-30	KY949747	USA	N	6
A/Baltimore/0261/2017	2017-01-31	KY949657	USA	N	6
A/Baltimore/0262/2017	2017-01-31	KY949755	USA	N	6
A/Baltimore/0281/2017	2017-02-06	KY949825	USA	N	6
A/Baltimore/0287/2017	2017-02-07	KY950024	USA	N	6
A/Baltimore/0293/2017	2017-02-09	KY949953	USA	N	6
A/Baltimore/0295/2017	2017-02-09	KY949640	USA	N	6
A/Baltimore/0297/2017	2017-02-09	KY949833	USA	N	6
A/Baltimore/0301/2017	2017-02-12	KY949792	USA	N	6
A/Baltimore/0306/2017	2017-02-14	KY949867	USA	N	6
A/Baltimore/0307/2017	2017-02-14	KY949809	USA	N	6
A/Baltimore/P0111/2017	2017-03-28	MH637492	USA	N	6
A/Baltimore/P0213/2017	2017-12-14	MH637491	USA	N	6
A/Baltimore/P0215/2017	2017-12-15	MH637577	USA	N	6
A/Baltimore/P0222/2017	2017-12-20	MH637766	USA	N	6
A/Baltimore/P0224/2017	2017-12-21	MH637745	USA	N	6
A/Baltimore/P0225/2017	2017-12-21	MH637729	USA	N	6
A/Baltimore/P0227/2017	2017-12-21	MH637658	USA	N	6
A/Baltimore/P0228/2017	2017-12-22	MH637775	USA	N	6
A/Baltimore/P0230/2017	2017-12-27	MH637634	USA	N	6
A/Baltimore/P0232/2018	2018-01-02	MH637613	USA	N	6
A/Baltimore/P0237/2018	2018-01-07	MH637630	USA	N	6
A/Baltimore/P0238/2018	2018-01-08	MH637496	USA	N	6
A/Baltimore/P0239/2018	2018-01-08	MH637539	USA	N	6
A/Baltimore/P0243/2018	2018-01-11	MH637473	USA	N	6
A/Baltimore/P0244/2018	2018-01-11	MH637622	USA	N	6
A/Baltimore/P0245/2018	2018-01-12	MH637674	USA	N	6
A/Baltimore/P0283/2018	2018-02-04	MH637804	USA	N	6
A/Baltimore/P0286/2018	2018-02-05	MH637791	USA	N	6
A/Baltimore/P0296/2018	2018-02-09	MH637464	USA	N	6
A/Baltimore/P0298/2018	2018-02-10	MH637647	USA	N	6
A/Baltimore/P0309/2018	2018-02-15	MH637545	USA	N	6
A/Basel/USB001428.6/2016	2016-12-23	MN301288	Switzerland	N	6
A/Basel/USB001429.6/2016	2016-12-23	MN301290	Switzerland	N	6
A/Basel/USB001430.6/2016	2016-12-23	MN301291	Switzerland	N	6
A/Basel/USB001433.6/2016	2016-12-25	MN301302	Switzerland	N	6
A/Basel/USB001434.6/2016	2016-12-23	MN301295	Switzerland	N	6
A/Basel/USB001454.6/2016	2016-12-12	MN301265	Switzerland	N	6
A/Basel/USB001455.6/2016	2016-12-14	MN301266	Switzerland	N	6
A/Basel/USB001456.6/2016	2016-12-15	MN301268	Switzerland	N	6
A/Basel/USB001457.6/2016	2016-12-17	MN301269	Switzerland	N	6
A/Basel/USB001458.6/2016	2016-12-18	MN301270	Switzerland	N	6
A/Basel/USB001459.6/2016	2016-12-18	MN301272	Switzerland	N	6
A/Basel/USB001461.6/2016	2016-12-19	MN301275	Switzerland	N	6
A/Basel/USB001462.6/2016	2016-12-20	MN301277	Switzerland	N	6
A/Basel/USB001463.6/2016	2016-12-21	MN301280	Switzerland	N	6
A/Basel/USB001464.6/2016	2016-12-21	MN301281	Switzerland	N	6
A/Basel/USB001469.6/2016	2016-12-23	MN301294	Switzerland	N	6
A/Basel/USB001471.6/2016	2016-12-25	MN301305	Switzerland	N	6
A/Basel/USB001472.6/2016	2016-12-24	MN301297	Switzerland	N	6
A/Basel/USB001473.6/2016	2016-12-24	MN301298	Switzerland	N	6
A/Basel/USB001474.6/2016	2016-12-25	MN301308	Switzerland	N	6
A/Basel/USB001532.6/2016	2016-12-26	MN301310	Switzerland	N	6
A/Basel/USB001535.6/2016	2016-12-27	MN301327	Switzerland	N	6
A/Basel/USB001538.6/2016	2016-12-27	MN301321	Switzerland	N	6
A/Basel/USB001539.6/2016	2016-12-27	MN301320	Switzerland	N	6
A/Basel/USB001541.6/2016	2016-12-28	MN301331	Switzerland	N	6
A/Basel/USB001542.6/2016	2016-12-27	MN301328	Switzerland	N	6
A/Basel/USB001544.6/2016	2016-12-28	MN301337	Switzerland	N	6
A/Basel/USB001545.6/2016	2016-12-28	MN301340	Switzerland	N	6
A/Basel/USB001552.6/2016	2016-12-31	MN301361	Switzerland	N	6
A/Basel/USB001553.6/2016	2016-12-30	MN301355	Switzerland	N	6
A/Basel/USB001554.6/2016	2016-12-31	MN301359	Switzerland	N	6
A/Basel/USB001555.6/2016	2016-12-31	MN301358	Switzerland	N	6
A/Basel/USB001557.6/2016	2016-12-31	MN301357	Switzerland	N	6
A/Basel/USB001559.6/2016	2016-12-31	MN301364	Switzerland	N	6
A/Basel/USB001562.6/2016	2016-12-31	MN301368	Switzerland	N	6
A/Basel/USB001563.6/2017	2017-01-01	MN300828	Switzerland	N	6
A/Basel/USB001565.6/2017	2017-01-01	MN300830	Switzerland	N	6
A/Basel/USB001566.6/2017	2017-01-01	MN300831	Switzerland	N	6
A/Basel/USB001567.6/2017	2017-01-01	MN300832	Switzerland	N	6
A/Basel/USB001569.6/2017	2017-01-02	MN300837	Switzerland	N	6
A/Basel/USB001580.6/2017	2017-01-03	MN300847	Switzerland	N	6
A/Basel/USB001581.6/2017	2017-01-03	MN300848	Switzerland	N	6
A/Basel/USB001582.6/2017	2017-01-03	MN300852	Switzerland	N	6
A/Basel/USB001583.6/2017	2017-01-03	MN300853	Switzerland	N	6
A/Basel/USB001584.6/2017	2017-01-04	MN300879	Switzerland	N	6
A/Basel/USB001589.6/2017	2017-01-04	MN300861	Switzerland	N	6
A/Basel/USB001590.6/2017	2017-01-04	MN300865	Switzerland	N	6
A/Basel/USB001591.6/2017	2017-01-04	MN300864	Switzerland	N	6
A/Basel/USB001593.6/2017	2017-01-04	MN300857	Switzerland	N	6
A/Basel/USB001639.6/2017	2017-01-04	MN300872	Switzerland	N	6
A/Basel/USB001643.6/2017	2017-01-05	MN300885	Switzerland	N	6
A/Basel/USB001645.6/2017	2017-01-05	MN300889	Switzerland	N	6
A/Basel/USB001808.6/2017	2017-01-09	MN300963	Switzerland	N	6
A/Basel/USB001812.6/2017	2017-01-10	MN300968	Switzerland	N	6
A/Basel/USB001814.6/2017	2017-01-10	MN300967	Switzerland	N	6
A/Basel/USB001833.6/2016	2016-12-18	MN301271	Switzerland	N	6
A/Basel/USB001835.6/2016	2016-12-20	MN301276	Switzerland	N	6
A/Basel/USB001839.6/2016	2016-12-24	MN301300	Switzerland	N	6
A/Basel/USB002047.6/2016	2016-12-10	MN301264	Switzerland	N	6
A/Basel/USB002050.6/2016	2016-12-15	MN301267	Switzerland	N	6
A/Basel/USB002059.6/2016	2016-12-19	MN301274	Switzerland	N	6
A/Basel/USB002069.6/2016	2016-12-21	MN301282	Switzerland	N	6
A/Basel/USB002071.6/2016	2016-12-21	MN301284	Switzerland	N	6
A/Basel/USB002087.6/2016	2016-12-25	MN301304	Switzerland	N	6
A/Basel/USB002093.6/2016	2016-12-24	MN301299	Switzerland	N	6
A/Basel/USB002099.6/2016	2016-12-26	MN301313	Switzerland	N	6
A/Basel/USB002124.6/2016	2016-12-26	MN301317	Switzerland	N	6
A/Basel/USB002128.6/2016	2016-12-27	MN301325	Switzerland	N	6
A/Basel/USB002130.6/2016	2016-12-27	MN301323	Switzerland	N	6
A/Basel/USB002132.6/2016	2016-12-27	MN301322	Switzerland	N	6
A/Basel/USB002138.6/2016	2016-12-28	MN301336	Switzerland	N	6
A/Basel/USB002140.6/2016	2016-12-28	MN301330	Switzerland	N	6
A/Basel/USB002145.6/2016	2016-12-28	MN301338	Switzerland	N	6
A/Basel/USB002154.6/2016	2016-12-30	MN301353	Switzerland	N	6
A/Basel/USB002156.6/2016	2016-12-30	MN301352	Switzerland	N	6
A/Basel/USB002157.6/2016	2016-12-29	MN301350	Switzerland	N	6
A/Basel/USB002171.6/2016	2016-12-29	MN301345	Switzerland	N	6
A/Basel/USB002178.6/2016	2016-12-29	MN301347	Switzerland	N	6
A/Basel/USB002186.6/2016	2016-12-30	MN301356	Switzerland	N	6
A/Basel/USB002202.6/2016	2016-12-31	MN301369	Switzerland	N	6
A/Basel/USB002230.6/2017	2017-01-02	MN300835	Switzerland	N	6
A/Basel/USB002235.6/2017	2017-01-02	MN300838	Switzerland	N	6
A/Basel/USB002253.6/2017	2017-01-03	MN300851	Switzerland	N	6
A/Basel/USB002270.6/2017	2017-01-03	MN300854	Switzerland	N	6
A/Basel/USB002271.6/2017	2017-01-03	MN300856	Switzerland	N	6
A/Basel/USB002272.6/2017	2017-01-04	MN300859	Switzerland	N	6
A/Basel/USB002294.6/2017	2017-01-04	MN300874	Switzerland	N	6
A/Basel/USB002295.6/2017	2017-01-04	MN300873	Switzerland	N	6
A/Basel/USB002297.6/2017	2017-01-04	MN300862	Switzerland	N	6
A/Basel/USB002304.6/2017	2017-01-04	MN300875	Switzerland	N	6
A/Basel/USB002311.6/2017	2017-01-05	MN300888	Switzerland	N	6
A/Basel/USB002314.6/2017	2017-01-05	MN300891	Switzerland	N	6
A/Basel/USB002320.6/2017	2017-01-06	MN300901	Switzerland	N	6
A/Basel/USB002322.6/2017	2017-01-05	MN300895	Switzerland	N	6
A/Basel/USB002323.6/2017	2017-01-06	MN300903	Switzerland	N	6
A/Basel/USB002325.6/2017	2017-01-06	MN300902	Switzerland	N	6
A/Basel/USB002337.6/2017	2017-01-06	MN300904	Switzerland	N	6
A/Basel/USB002341.6/2017	2017-01-06	MN300906	Switzerland	N	6
A/Basel/USB002344.6/2017	2017-01-06	MN300910	Switzerland	N	6
A/Basel/USB002348.6/2017	2017-01-06	MN300908	Switzerland	N	6
A/Basel/USB002431.6/2017	2017-01-07	MN300914	Switzerland	N	6
A/Basel/USB002432.6/2017	2017-01-07	MN300913	Switzerland	N	6
A/Basel/USB002434.6/2017	2017-01-07	MN300915	Switzerland	N	6
A/Basel/USB002442.6/2017	2017-01-08	MN300924	Switzerland	N	6
A/Basel/USB002445.6/2017	2017-01-07	MN300927	Switzerland	N	6
A/Basel/USB002452.6/2017	2017-01-08	MN300923	Switzerland	N	6
A/Basel/USB002454.6/2017	2017-01-07	MN300928	Switzerland	N	6
A/Basel/USB002466.6/2017	2017-01-09	MN300948	Switzerland	N	6
A/Basel/USB002555.6/2017	2017-01-09	MN300944	Switzerland	N	6
A/Basel/USB002566.6/2017	2017-01-08	MN300936	Switzerland	N	6
A/Basel/USB002572.6/2017	2017-01-09	MN300958	Switzerland	N	6
A/Basel/USB002574.6/2017	2017-01-09	MN300960	Switzerland	N	6
A/Basel/USB002576.6/2017	2017-01-09	MN300962	Switzerland	N	6
A/Basel/USB002590.6/2017	2017-01-11	MN300979	Switzerland	N	6
A/Basel/USB002591.6/2017	2017-01-10	MN300977	Switzerland	N	6
A/Basel/USB002595.6/2017	2017-01-10	MN300976	Switzerland	N	6
A/Basel/USB002596.6/2017	2017-01-10	MN300971	Switzerland	N	6
A/Basel/USB002598.6/2017	2017-01-10	MN300972	Switzerland	N	6
A/Basel/USB002600.6/2017	2017-01-11	MN300980	Switzerland	N	6
A/Basel/USB002604.6/2017	2017-01-11	MN300983	Switzerland	N	6
A/Basel/USB002610.6/2017	2017-01-12	MN300991	Switzerland	N	6
A/Basel/USB002613.6/2017	2017-01-11	MN300988	Switzerland	N	6
A/Basel/USB002615.6/2017	2017-01-11	MN300989	Switzerland	N	6
A/Basel/USB002616.6/2017	2017-01-12	MN300993	Switzerland	N	6
A/Basel/USB002618.6/2017	2017-01-12	MN300995	Switzerland	N	6
A/Basel/USB002623.6/2017	2017-01-12	MN300999	Switzerland	N	6
A/Basel/USB002627.6/2017	2017-01-12	MN301000	Switzerland	N	6
A/Basel/USB002652.6/2017	2017-01-13	MN301011	Switzerland	N	6
A/Basel/USB002654.6/2017	2017-01-13	MN301013	Switzerland	N	6
A/Basel/USB002673.6/2017	2017-01-14	MN301020	Switzerland	N	6
A/Basel/USB002680.6/2017	2017-01-15	MN301028	Switzerland	N	6
A/Basel/USB002684.6/2017	2017-01-15	MN301024	Switzerland	N	6
A/Basel/USB002696.6/2017	2017-01-15	MN301029	Switzerland	N	6
A/Basel/USB002697.6/2017	2017-01-15	MN301030	Switzerland	N	6
A/Basel/USB002698.6/2017	2017-01-16	MN301031	Switzerland	N	6
A/Basel/USB002699.6/2017	2017-01-16	MN301032	Switzerland	N	6
A/Basel/USB002705.6/2017	2017-01-16	MN301037	Switzerland	N	6
A/Basel/USB002714.6/2017	2017-01-17	MN301041	Switzerland	N	6
A/Basel/USB002717.6/2017	2017-01-17	MN301043	Switzerland	N	6
A/Basel/USB002721.6/2017	2017-01-17	MN301046	Switzerland	N	6
A/Basel/USB002726.6/2017	2017-01-17	MN301049	Switzerland	N	6
A/Basel/USB002727.6/2017	2017-01-17	MN301051	Switzerland	N	6
A/Basel/USB002729.6/2017	2017-01-17	MN301052	Switzerland	N	6
A/Basel/USB002732.6/2017	2017-01-17	MN301054	Switzerland	N	6
A/Basel/USB002747.6/2017	2017-01-18	MN301057	Switzerland	N	6
A/Basel/USB002748.6/2017	2017-01-18	MN301058	Switzerland	N	6
A/Basel/USB002751.6/2017	2017-01-18	MN301060	Switzerland	N	6
A/Basel/USB002756.6/2017	2017-01-19	MN301064	Switzerland	N	6
A/Basel/USB002764.6/2017	2017-01-20	MN301068	Switzerland	N	6
A/Basel/USB002770.6/2017	2017-01-20	MN301074	Switzerland	N	6
A/Basel/USB002775.6/2017	2017-01-22	MN301077	Switzerland	N	6
A/Basel/USB002814.6/2017	2017-01-22	MN301081	Switzerland	N	6
A/Basel/USB002818.6/2017	2017-01-22	MN301084	Switzerland	N	6
A/Basel/USB002819.6/2017	2017-01-23	MN301087	Switzerland	N	6
A/Basel/USB002825.6/2017	2017-01-23	MN301091	Switzerland	N	6
A/Basel/USB002826.6/2017	2017-01-23	MN301090	Switzerland	N	6
A/Basel/USB002827.6/2017	2017-01-23	MN301092	Switzerland	N	6
A/Basel/USB002828.6/2017	2017-01-23	MN301093	Switzerland	N	6
A/Basel/USB002830.6/2017	2017-01-24	MN301095	Switzerland	N	6
A/Basel/USB002835.6/2017	2017-01-24	MN301096	Switzerland	N	6
A/Basel/USB002837.6/2017	2017-01-24	MN301097	Switzerland	N	6
A/Basel/USB002841.6/2017	2017-01-25	MN301099	Switzerland	N	6
A/Basel/USB002843.6/2017	2017-01-25	MN301101	Switzerland	N	6
A/Basel/USB002845.6/2017	2017-01-26	MN301103	Switzerland	N	6
A/Basel/USB002850.6/2017	2017-01-26	MN301108	Switzerland	N	6
A/Basel/USB002851.6/2017	2017-01-26	MN301107	Switzerland	N	6
A/Basel/USB002864.6/2017	2017-01-27	MN301111	Switzerland	N	6
A/Basel/USB002867.6/2017	2017-01-27	MN301114	Switzerland	N	6
A/Basel/USB002868.6/2017	2017-01-27	MN301115	Switzerland	N	6
A/Basel/USB002870.6/2017	2017-01-28	MN301116	Switzerland	N	6
A/Basel/USB002871.6/2017	2017-01-28	MN301117	Switzerland	N	6
A/Basel/USB002872.6/2017	2017-01-28	MN301118	Switzerland	N	6
A/Basel/USB002878.6/2017	2017-01-31	MN301145	Switzerland	N	6
A/Basel/USB002883.6/2017	2017-01-31	MN301148	Switzerland	N	6
A/Basel/USB002885.6/2017	2017-01-28	MN301121	Switzerland	N	6
A/Basel/USB002888.6/2017	2017-01-28	MN301124	Switzerland	N	6
A/Basel/USB002891.6/2017	2017-01-29	MN301127	Switzerland	N	6
A/Basel/USB002895.6/2017	2017-01-30	MN301130	Switzerland	N	6
A/Basel/USB002899.6/2017	2017-01-30	MN301134	Switzerland	N	6
A/Basel/USB002912.6/2017	2017-01-31	MN301139	Switzerland	N	6
A/Basel/USB002915.6/2017	2017-01-31	MN301140	Switzerland	N	6
A/Basel/USB002920.6/2017	2017-01-31	MN301149	Switzerland	N	6
A/Basel/USB002921.6/2017	2017-02-01	MN301151	Switzerland	N	6
A/Basel/USB002922.6/2017	2017-02-01	MN301150	Switzerland	N	6
A/Basel/USB002925.6/2017	2017-02-01	MN301154	Switzerland	N	6
A/Basel/USB002962.6/2017	2017-02-02	MN301155	Switzerland	N	6
A/Basel/USB002965.6/2017	2017-02-02	MN301159	Switzerland	N	6
A/Basel/USB002970.6/2017	2017-02-03	MN301164	Switzerland	N	6
A/Basel/USB002971.6/2017	2017-02-03	MN301165	Switzerland	N	6
A/Basel/USB002972.6/2017	2017-02-03	MN301166	Switzerland	N	6
A/Basel/USB002978.6/2017	2017-02-03	MN301171	Switzerland	N	6
A/Basel/USB002985.6/2017	2017-02-03	MN301174	Switzerland	N	6
A/Basel/USB002986.6/2017	2017-02-04	MN301179	Switzerland	N	6
A/Basel/USB002991.6/2017	2017-02-04	MN301184	Switzerland	N	6
A/Basel/USB002994.6/2017	2017-02-04	MN301186	Switzerland	N	6
A/Basel/USB002995.6/2017	2017-02-05	MN301187	Switzerland	N	6
A/Basel/USB003009.6/2017	2017-02-05	MN301191	Switzerland	N	6
A/Basel/USB003012.6/2017	2017-02-06	MN301192	Switzerland	N	6
A/Basel/USB003013.6/2017	2017-02-06	MN301194	Switzerland	N	6
A/Basel/USB003018.6/2017	2017-02-06	MN301195	Switzerland	N	6
A/Basel/USB003020.6/2017	2017-02-07	MN301198	Switzerland	N	6
A/Basel/USB003021.6/2017	2017-02-07	MN301197	Switzerland	N	6
A/Basel/USB003025.6/2017	2017-02-08	MN301204	Switzerland	N	6
A/Basel/USB003026.6/2017	2017-02-07	MN301201	Switzerland	N	6
A/Basel/USB003027.6/2017	2017-02-08	MN301203	Switzerland	N	6
A/Basel/USB003030.6/2017	2017-02-08	MN301205	Switzerland	N	6
A/Basel/USB003035.6/2017	2017-02-08	MN301209	Switzerland	N	6
A/Basel/USB003038.6/2017	2017-02-09	MN301210	Switzerland	N	6
A/Basel/USB003042.6/2017	2017-02-09	MN301212	Switzerland	N	6
A/Basel/USB003043.6/2017	2017-02-09	MN301213	Switzerland	N	6
A/Basel/USB003044.6/2017	2017-02-09	MN301214	Switzerland	N	6
