strain,umap_x,umap_y,umap_label
A/Chad/9833/2019,-12.344814,13.322432,2
A/California/141/2019,-10.009459,9.3702,1
A/Perth/1001/2018,-10.333445,9.554726,1
A/Wisconsin/92/2018,-10.038067,9.925605,1
A/Ohio/23/2018,-10.279469,9.658206,1
A/California/142/2019,-9.997753,9.821997,1
A/England/8742/2019,-9.576914,10.081493,1
A/Ohio/8988/2019,-9.605827,9.820968,1
A/Belgium/9021/2019,-9.801809,9.399976,1
A/England/9336/2019,-9.68158,9.311684,1
A/Italy/9498/2019,-9.84867,9.568428,1
A/Spain/8834/2019,-9.423161,9.186553,1
A/Mississippi/8282/2019,-9.509288,9.138216,1
A/England/9619/2019,-8.815897,9.317951,1
A/Italy/8767/2019,-9.154185,9.274967,1
A/Germany/9356/2019,-8.833346,9.745048,1
A/Germany/9668/2019,-9.144135,9.513623,1
A/Italy/8939/2019,-8.88476,9.030735,1
A/Yokosuka/NHRC_OID_FDX70722/2019,-8.940788,9.404034,1
A/Italy/9501/2019,-8.79173,9.214543,1
A/Italy/9499/2019,-9.525509,9.370753,1
A/Italy/8763/2019,-9.102247,9.77674,1
A/Japan/9070/2019,-9.284124,9.032996,1
A/Germany/9496/2019,-9.376385,9.726409,1
A/Idaho/13/2018,-9.839495,10.346443,1
A/Minnesota/40/2018,-9.9843235,10.130674,1
A/Italy/8602/2019,-11.985241,13.790587,2
A/Hawaii/51/2019,-12.278383,13.155294,2
A/Minnesota/47/2018,-11.973953,13.4692135,2
A/SouthAustralia/22/2018,-12.675487,14.713722,2
